17:28:53.882399->{"CURRENT_PRECENT": 0.2768288168313511, "CURRENT_RSS": 22736896}
17:28:54.384905->{"CURRENT_PRECENT": 0.27851831239269836, "CURRENT_RSS": 22958080}
17:28:54.885763->{"CURRENT_PRECENT": 0.28557444091361955, "CURRENT_RSS": 23539712}
17:28:55.386746->{"CURRENT_PRECENT": 0.2900466350465978, "CURRENT_RSS": 23908352}
17:28:55.887151->{"CURRENT_PRECENT": 0.3039601279047522, "CURRENT_RSS": 25055232}
17:28:56.393260->{"CURRENT_PRECENT": 0.3039601279047522, "CURRENT_RSS": 25055232}
17:28:56.893677->{"CURRENT_PRECENT": 0.3039601279047522, "CURRENT_RSS": 25055232}
17:28:57.394463->{"CURRENT_PRECENT": 0.304357656272128, "CURRENT_RSS": 25088000}
17:28:57.894776->{"CURRENT_PRECENT": 0.304506729409894, "CURRENT_RSS": 25100288}
17:28:58.395491->{"CURRENT_PRECENT": 0.304506729409894, "CURRENT_RSS": 25100288}
17:28:58.895715->{"CURRENT_PRECENT": 0.30485456673134786, "CURRENT_RSS": 25128960}
17:28:59.396089->{"CURRENT_PRECENT": 0.30485456673134786, "CURRENT_RSS": 25128960}
17:28:59.897281->{"CURRENT_PRECENT": 0.30485456673134786, "CURRENT_RSS": 25128960}
17:29:00.398442->{"CURRENT_PRECENT": 0.30485456673134786, "CURRENT_RSS": 25128960}
17:29:00.899690->{"CURRENT_PRECENT": 0.30798510262443257, "CURRENT_RSS": 25387008}
17:29:01.401066->{"CURRENT_PRECENT": 0.3089292324969502, "CURRENT_RSS": 25464832}
17:29:01.902169->{"CURRENT_PRECENT": 0.30922737877248213, "CURRENT_RSS": 25489408}
17:29:02.403284->{"CURRENT_PRECENT": 0.309475834002092, "CURRENT_RSS": 25509888}
17:29:02.904696->{"CURRENT_PRECENT": 0.309475834002092, "CURRENT_RSS": 25509888}
17:29:03.406040->{"CURRENT_PRECENT": 0.309475834002092, "CURRENT_RSS": 25509888}
17:29:03.907538->{"CURRENT_PRECENT": 0.309475834002092, "CURRENT_RSS": 25509888}
17:29:04.408799->{"CURRENT_PRECENT": 0.3096745981857799, "CURRENT_RSS": 25526272}
17:29:04.910117->{"CURRENT_PRECENT": 0.3323834061721248, "CURRENT_RSS": 27398144}
17:29:05.410987->{"CURRENT_PRECENT": 0.3403339735196416, "CURRENT_RSS": 28053504}
17:29:05.912636->{"CURRENT_PRECENT": 0.34058242874925154, "CURRENT_RSS": 28073984}
17:29:06.415006->{"CURRENT_PRECENT": 0.3406818108410955, "CURRENT_RSS": 28082176}
17:29:06.917175->{"CURRENT_PRECENT": 0.34147686757584716, "CURRENT_RSS": 28147712}
17:29:07.420480->{"CURRENT_PRECENT": 0.34147686757584716, "CURRENT_RSS": 28147712}
17:29:07.922220->{"CURRENT_PRECENT": 0.34147686757584716, "CURRENT_RSS": 28147712}
17:29:08.424767->{"CURRENT_PRECENT": 0.34147686757584716, "CURRENT_RSS": 28147712}
17:29:08.927611->{"CURRENT_PRECENT": 0.34147686757584716, "CURRENT_RSS": 28147712}
17:29:09.430349->{"CURRENT_PRECENT": 0.34182470489730105, "CURRENT_RSS": 28176384}
17:29:09.932398->{"CURRENT_PRECENT": 0.34202346908098896, "CURRENT_RSS": 28192768}
17:29:10.433832->{"CURRENT_PRECENT": 0.34202346908098896, "CURRENT_RSS": 28192768}
17:29:10.935626->{"CURRENT_PRECENT": 0.34202346908098896, "CURRENT_RSS": 28192768}
17:29:11.438187->{"CURRENT_PRECENT": 0.34530307811183963, "CURRENT_RSS": 28463104}
17:29:11.940974->{"CURRENT_PRECENT": 0.34530307811183963, "CURRENT_RSS": 28463104}
17:29:12.443631->{"CURRENT_PRECENT": 0.34530307811183963, "CURRENT_RSS": 28463104}
17:29:12.945295->{"CURRENT_PRECENT": 0.34530307811183963, "CURRENT_RSS": 28463104}
17:29:13.446913->{"CURRENT_PRECENT": 0.34530307811183963, "CURRENT_RSS": 28463104}
17:29:13.948775->{"CURRENT_PRECENT": 0.34530307811183963, "CURRENT_RSS": 28463104}
17:29:14.450114->{"CURRENT_PRECENT": 0.34530307811183963, "CURRENT_RSS": 28463104}
17:29:14.951940->{"CURRENT_PRECENT": 0.34530307811183963, "CURRENT_RSS": 28463104}
17:29:15.454187->{"CURRENT_PRECENT": 0.3485826871426903, "CURRENT_RSS": 28733440}
17:29:15.956740->{"CURRENT_PRECENT": 0.3485826871426903, "CURRENT_RSS": 28733440}
17:29:16.458463->{"CURRENT_PRECENT": 0.3485826871426903, "CURRENT_RSS": 28733440}
17:29:16.960804->{"CURRENT_PRECENT": 0.3485826871426903, "CURRENT_RSS": 28733440}
17:29:17.463020->{"CURRENT_PRECENT": 0.3485826871426903, "CURRENT_RSS": 28733440}
17:29:17.965919->{"CURRENT_PRECENT": 0.3485826871426903, "CURRENT_RSS": 28733440}
17:29:18.467804->{"CURRENT_PRECENT": 0.3485826871426903, "CURRENT_RSS": 28733440}
17:29:18.969429->{"CURRENT_PRECENT": 0.3485826871426903, "CURRENT_RSS": 28733440}
17:29:19.471450->{"CURRENT_PRECENT": 0.3485826871426903, "CURRENT_RSS": 28733440}
17:29:19.972898->{"CURRENT_PRECENT": 0.3485826871426903, "CURRENT_RSS": 28733440}
17:29:20.474734->{"CURRENT_PRECENT": 0.3485826871426903, "CURRENT_RSS": 28733440}
17:29:20.978248->{"CURRENT_PRECENT": 0.3485826871426903, "CURRENT_RSS": 28733440}
17:29:21.481014->{"CURRENT_PRECENT": 0.3485826871426903, "CURRENT_RSS": 28733440}
17:29:21.983430->{"CURRENT_PRECENT": 0.3485826871426903, "CURRENT_RSS": 28733440}
17:29:22.485164->{"CURRENT_PRECENT": 0.3485826871426903, "CURRENT_RSS": 28733440}
17:29:22.987849->{"CURRENT_PRECENT": 0.3485826871426903, "CURRENT_RSS": 28733440}
17:29:23.489820->{"CURRENT_PRECENT": 0.3485826871426903, "CURRENT_RSS": 28733440}
17:29:23.991832->{"CURRENT_PRECENT": 0.3486323781886123, "CURRENT_RSS": 28737536}
