21:37:57.954417->{"CURRENT_RSS": 21667840, "CURRENT_PRECENT": 0.26286563292727466}
21:37:58.454895->{"CURRENT_RSS": 23158784, "CURRENT_PRECENT": 0.2809531736428754}
21:37:58.956651->{"CURRENT_RSS": 24674304, "CURRENT_PRECENT": 0.29933886063400805}
21:37:59.457203->{"CURRENT_RSS": 25608192, "CURRENT_PRECENT": 0.31066841910421955}
21:37:59.958665->{"CURRENT_RSS": 27029504, "CURRENT_PRECENT": 0.32791121203914664}
21:38:00.459457->{"CURRENT_RSS": 27045888, "CURRENT_PRECENT": 0.3281099762228345}
21:38:00.960375->{"CURRENT_RSS": 27045888, "CURRENT_PRECENT": 0.3281099762228345}
21:38:01.461333->{"CURRENT_RSS": 27049984, "CURRENT_PRECENT": 0.3281596672687565}
21:38:01.961906->{"CURRENT_RSS": 27078656, "CURRENT_PRECENT": 0.3285075045902104}
21:38:02.462712->{"CURRENT_RSS": 27095040, "CURRENT_PRECENT": 0.3287062687738983}
21:38:02.963503->{"CURRENT_RSS": 27123712, "CURRENT_PRECENT": 0.32905410609535213}
21:38:03.464986->{"CURRENT_RSS": 27123712, "CURRENT_PRECENT": 0.32905410609535213}
21:38:03.966176->{"CURRENT_RSS": 27156480, "CURRENT_PRECENT": 0.32945163446272796}
21:38:04.467189->{"CURRENT_RSS": 27156480, "CURRENT_PRECENT": 0.32945163446272796}
21:38:04.968404->{"CURRENT_RSS": 27156480, "CURRENT_PRECENT": 0.32945163446272796}
21:38:05.469953->{"CURRENT_RSS": 27156480, "CURRENT_PRECENT": 0.32945163446272796}
21:38:05.970958->{"CURRENT_RSS": 27156480, "CURRENT_PRECENT": 0.32945163446272796}
21:38:06.472085->{"CURRENT_RSS": 27156480, "CURRENT_PRECENT": 0.32945163446272796}
21:38:06.973212->{"CURRENT_RSS": 27414528, "CURRENT_PRECENT": 0.3325821703558127}
21:38:07.474647->{"CURRENT_RSS": 27414528, "CURRENT_PRECENT": 0.3325821703558127}
21:38:07.975558->{"CURRENT_RSS": 27426816, "CURRENT_PRECENT": 0.3327312434935787}
21:38:08.476535->{"CURRENT_RSS": 27426816, "CURRENT_PRECENT": 0.3327312434935787}
21:38:08.977325->{"CURRENT_RSS": 27742208, "CURRENT_PRECENT": 0.33655745402957116}
21:38:09.478005->{"CURRENT_RSS": 27983872, "CURRENT_PRECENT": 0.33948922573896795}
21:38:09.979024->{"CURRENT_RSS": 27983872, "CURRENT_PRECENT": 0.33948922573896795}
21:38:10.480078->{"CURRENT_RSS": 27983872, "CURRENT_PRECENT": 0.33948922573896795}
21:38:10.980988->{"CURRENT_RSS": 27983872, "CURRENT_PRECENT": 0.33948922573896795}
21:38:11.482165->{"CURRENT_RSS": 27983872, "CURRENT_PRECENT": 0.33948922573896795}
21:38:11.983423->{"CURRENT_RSS": 27983872, "CURRENT_PRECENT": 0.33948922573896795}
21:38:12.484491->{"CURRENT_RSS": 27983872, "CURRENT_PRECENT": 0.33948922573896795}
21:38:12.986953->{"CURRENT_RSS": 28000256, "CURRENT_PRECENT": 0.33968798992265586}
21:38:13.487810->{"CURRENT_RSS": 28000256, "CURRENT_PRECENT": 0.33968798992265586}
21:38:13.988862->{"CURRENT_RSS": 28000256, "CURRENT_PRECENT": 0.33968798992265586}
21:38:14.489887->{"CURRENT_RSS": 28176384, "CURRENT_PRECENT": 0.34182470489730105}
21:38:14.990262->{"CURRENT_RSS": 28164096, "CURRENT_PRECENT": 0.3416756317595351}
21:38:15.490886->{"CURRENT_RSS": 28164096, "CURRENT_PRECENT": 0.3416756317595351}
21:38:15.991259->{"CURRENT_RSS": 28631040, "CURRENT_PRECENT": 0.3473404109946408}
21:38:16.493168->{"CURRENT_RSS": 28635136, "CURRENT_PRECENT": 0.3473901020405628}
21:38:16.994553->{"CURRENT_RSS": 28868608, "CURRENT_PRECENT": 0.3502224916581157}
21:38:17.496112->{"CURRENT_RSS": 28868608, "CURRENT_PRECENT": 0.3502224916581157}
21:38:17.998136->{"CURRENT_RSS": 28868608, "CURRENT_PRECENT": 0.3502224916581157}
21:38:18.499609->{"CURRENT_RSS": 28868608, "CURRENT_PRECENT": 0.3502224916581157}
21:38:19.001290->{"CURRENT_RSS": 28880896, "CURRENT_PRECENT": 0.3503715647958816}
21:38:19.502880->{"CURRENT_RSS": 28884992, "CURRENT_PRECENT": 0.35042125584180356}
21:38:20.004964->{"CURRENT_RSS": 28884992, "CURRENT_PRECENT": 0.35042125584180356}
21:38:20.506539->{"CURRENT_RSS": 28884992, "CURRENT_PRECENT": 0.35042125584180356}
21:38:21.007372->{"CURRENT_RSS": 28884992, "CURRENT_PRECENT": 0.35042125584180356}
21:38:21.508718->{"CURRENT_RSS": 28884992, "CURRENT_PRECENT": 0.35042125584180356}
21:38:22.010008->{"CURRENT_RSS": 28884992, "CURRENT_PRECENT": 0.35042125584180356}
21:38:22.511529->{"CURRENT_RSS": 28884992, "CURRENT_PRECENT": 0.35042125584180356}
21:38:23.013488->{"CURRENT_RSS": 28884992, "CURRENT_PRECENT": 0.35042125584180356}
21:38:23.515130->{"CURRENT_RSS": 28884992, "CURRENT_PRECENT": 0.35042125584180356}
21:38:24.016937->{"CURRENT_RSS": 28884992, "CURRENT_PRECENT": 0.35042125584180356}
21:38:24.518673->{"CURRENT_RSS": 28884992, "CURRENT_PRECENT": 0.35042125584180356}
21:38:25.020046->{"CURRENT_RSS": 28884992, "CURRENT_PRECENT": 0.35042125584180356}
21:38:25.521999->{"CURRENT_RSS": 28884992, "CURRENT_PRECENT": 0.35042125584180356}
