19:10:04.712758->{"CURRENT_RSS": 22040576, "CURRENT_PRECENT": 0.2673877838417478}
19:10:05.216389->{"CURRENT_RSS": 23781376, "CURRENT_PRECENT": 0.28850649934681055}
19:10:05.716975->{"CURRENT_RSS": 23883776, "CURRENT_PRECENT": 0.2897487767294613}
19:10:06.217736->{"CURRENT_RSS": 24055808, "CURRENT_PRECENT": 0.2918358027323146}
19:10:06.720320->{"CURRENT_RSS": 25464832, "CURRENT_PRECENT": 0.3089295395175889}
19:10:07.221894->{"CURRENT_RSS": 25788416, "CURRENT_PRECENT": 0.3128551360467653}
19:10:07.722666->{"CURRENT_RSS": 25812992, "CURRENT_PRECENT": 0.3131532826186015}
19:10:08.223338->{"CURRENT_RSS": 25829376, "CURRENT_PRECENT": 0.3133520469998256}
19:10:08.723680->{"CURRENT_RSS": 25829376, "CURRENT_PRECENT": 0.3133520469998256}
19:10:09.224518->{"CURRENT_RSS": 25829376, "CURRENT_PRECENT": 0.3133520469998256}
19:10:09.725307->{"CURRENT_RSS": 25878528, "CURRENT_PRECENT": 0.313948340143498}
19:10:10.225934->{"CURRENT_RSS": 25899008, "CURRENT_PRECENT": 0.3141967956200281}
19:10:10.727023->{"CURRENT_RSS": 25903104, "CURRENT_PRECENT": 0.3142464867153341}
19:10:11.228161->{"CURRENT_RSS": 26161152, "CURRENT_PRECENT": 0.317377025719614}
19:10:11.729013->{"CURRENT_RSS": 26161152, "CURRENT_PRECENT": 0.317377025719614}
19:10:12.229964->{"CURRENT_RSS": 26181632, "CURRENT_PRECENT": 0.31762548119614414}
19:10:12.732406->{"CURRENT_RSS": 26193920, "CURRENT_PRECENT": 0.31777455448206227}
19:10:13.233588->{"CURRENT_RSS": 26193920, "CURRENT_PRECENT": 0.31777455448206227}
19:10:13.733902->{"CURRENT_RSS": 26193920, "CURRENT_PRECENT": 0.31777455448206227}
19:10:14.234817->{"CURRENT_RSS": 26734592, "CURRENT_PRECENT": 0.3243337790624582}
19:10:14.736326->{"CURRENT_RSS": 26746880, "CURRENT_PRECENT": 0.3244828523483763}
19:10:15.237174->{"CURRENT_RSS": 26750976, "CURRENT_PRECENT": 0.3245325434436824}
19:10:15.737942->{"CURRENT_RSS": 27090944, "CURRENT_PRECENT": 0.32865690435408285}
19:10:16.238404->{"CURRENT_RSS": 28614656, "CURRENT_PRECENT": 0.347141991807926}
19:10:16.739785->{"CURRENT_RSS": 29052928, "CURRENT_PRECENT": 0.35245893900567127}
19:10:17.240909->{"CURRENT_RSS": 29052928, "CURRENT_PRECENT": 0.35245893900567127}
19:10:17.741977->{"CURRENT_RSS": 29052928, "CURRENT_PRECENT": 0.35245893900567127}
19:10:18.243071->{"CURRENT_RSS": 29052928, "CURRENT_PRECENT": 0.35245893900567127}
19:10:18.744072->{"CURRENT_RSS": 29052928, "CURRENT_PRECENT": 0.35245893900567127}
19:10:19.244956->{"CURRENT_RSS": 29052928, "CURRENT_PRECENT": 0.35245893900567127}
19:10:19.745933->{"CURRENT_RSS": 29069312, "CURRENT_PRECENT": 0.35265770338689534}
19:10:20.247460->{"CURRENT_RSS": 29069312, "CURRENT_PRECENT": 0.35265770338689534}
19:10:20.748425->{"CURRENT_RSS": 29069312, "CURRENT_PRECENT": 0.35265770338689534}
19:10:21.249534->{"CURRENT_RSS": 29069312, "CURRENT_PRECENT": 0.35265770338689534}
19:10:21.750929->{"CURRENT_RSS": 29421568, "CURRENT_PRECENT": 0.356931137583214}
19:10:22.252317->{"CURRENT_RSS": 29421568, "CURRENT_PRECENT": 0.356931137583214}
19:10:22.753282->{"CURRENT_RSS": 29421568, "CURRENT_PRECENT": 0.356931137583214}
19:10:23.254843->{"CURRENT_RSS": 29421568, "CURRENT_PRECENT": 0.356931137583214}
19:10:23.755895->{"CURRENT_RSS": 29421568, "CURRENT_PRECENT": 0.356931137583214}
19:10:24.256946->{"CURRENT_RSS": 29421568, "CURRENT_PRECENT": 0.356931137583214}
19:10:24.757932->{"CURRENT_RSS": 29421568, "CURRENT_PRECENT": 0.356931137583214}
19:10:25.258901->{"CURRENT_RSS": 29421568, "CURRENT_PRECENT": 0.356931137583214}
19:10:25.759975->{"CURRENT_RSS": 29691904, "CURRENT_PRECENT": 0.36021074987341195}
19:10:26.261409->{"CURRENT_RSS": 29691904, "CURRENT_PRECENT": 0.36021074987341195}
19:10:26.762517->{"CURRENT_RSS": 29691904, "CURRENT_PRECENT": 0.36021074987341195}
19:10:27.263597->{"CURRENT_RSS": 29691904, "CURRENT_PRECENT": 0.36021074987341195}
19:10:27.764675->{"CURRENT_RSS": 29691904, "CURRENT_PRECENT": 0.36021074987341195}
19:10:28.265949->{"CURRENT_RSS": 29691904, "CURRENT_PRECENT": 0.36021074987341195}
19:10:28.767437->{"CURRENT_RSS": 29691904, "CURRENT_PRECENT": 0.36021074987341195}
19:10:29.268242->{"CURRENT_RSS": 29962240, "CURRENT_PRECENT": 0.3634903621636099}
19:10:29.769321->{"CURRENT_RSS": 29962240, "CURRENT_PRECENT": 0.3634903621636099}
19:10:30.270689->{"CURRENT_RSS": 29962240, "CURRENT_PRECENT": 0.3634903621636099}
19:10:30.772143->{"CURRENT_RSS": 29962240, "CURRENT_PRECENT": 0.3634903621636099}
19:10:31.273569->{"CURRENT_RSS": 29962240, "CURRENT_PRECENT": 0.3634903621636099}
19:10:31.774083->{"CURRENT_RSS": 29962240, "CURRENT_PRECENT": 0.3634903621636099}
19:10:32.274941->{"CURRENT_RSS": 29962240, "CURRENT_PRECENT": 0.3634903621636099}
19:10:32.775983->{"CURRENT_RSS": 29962240, "CURRENT_PRECENT": 0.3634903621636099}
19:10:33.276471->{"CURRENT_RSS": 29962240, "CURRENT_PRECENT": 0.3634903621636099}
19:10:33.778789->{"CURRENT_RSS": 29962240, "CURRENT_PRECENT": 0.3634903621636099}
19:10:34.279615->{"CURRENT_RSS": 29962240, "CURRENT_PRECENT": 0.3634903621636099}
19:10:34.780580->{"CURRENT_RSS": 29962240, "CURRENT_PRECENT": 0.3634903621636099}
19:10:35.281970->{"CURRENT_RSS": 29962240, "CURRENT_PRECENT": 0.3634903621636099}
19:10:35.783589->{"CURRENT_RSS": 29962240, "CURRENT_PRECENT": 0.3634903621636099}
19:10:36.284832->{"CURRENT_RSS": 29962240, "CURRENT_PRECENT": 0.3634903621636099}
19:10:36.786049->{"CURRENT_RSS": 29962240, "CURRENT_PRECENT": 0.3634903621636099}
19:10:37.287106->{"CURRENT_RSS": 29962240, "CURRENT_PRECENT": 0.3634903621636099}
19:10:37.788143->{"CURRENT_RSS": 29962240, "CURRENT_PRECENT": 0.3634903621636099}
19:10:38.289501->{"CURRENT_RSS": 29962240, "CURRENT_PRECENT": 0.3634903621636099}
19:10:38.790504->{"CURRENT_RSS": 29962240, "CURRENT_PRECENT": 0.3634903621636099}
19:10:39.290910->{"CURRENT_RSS": 29962240, "CURRENT_PRECENT": 0.3634903621636099}
19:10:39.791997->{"CURRENT_RSS": 29962240, "CURRENT_PRECENT": 0.3634903621636099}
19:10:40.292818->{"CURRENT_RSS": 29970432, "CURRENT_PRECENT": 0.363589744354222}
19:10:40.793340->{"CURRENT_RSS": 29970432, "CURRENT_PRECENT": 0.363589744354222}
19:10:41.294490->{"CURRENT_RSS": 29970432, "CURRENT_PRECENT": 0.363589744354222}
19:10:41.795588->{"CURRENT_RSS": 29970432, "CURRENT_PRECENT": 0.363589744354222}
19:10:42.297164->{"CURRENT_RSS": 29970432, "CURRENT_PRECENT": 0.363589744354222}
19:10:42.798654->{"CURRENT_RSS": 29970432, "CURRENT_PRECENT": 0.363589744354222}
19:10:43.300209->{"CURRENT_RSS": 29970432, "CURRENT_PRECENT": 0.363589744354222}
19:10:43.801550->{"CURRENT_RSS": 29970432, "CURRENT_PRECENT": 0.363589744354222}
19:10:44.303162->{"CURRENT_RSS": 29970432, "CURRENT_PRECENT": 0.363589744354222}
19:10:44.804121->{"CURRENT_RSS": 29970432, "CURRENT_PRECENT": 0.363589744354222}
19:10:45.305456->{"CURRENT_RSS": 29978624, "CURRENT_PRECENT": 0.36368912654483404}
19:10:45.806494->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
19:10:46.307955->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
19:10:46.809620->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
19:10:47.310778->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
19:10:47.811718->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
19:10:48.312818->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
19:10:48.813969->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
19:10:49.315206->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
19:10:49.816458->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
19:10:50.317930->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
19:10:50.819120->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
19:10:51.320589->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
19:10:51.821976->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
19:10:52.323215->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
19:10:52.824293->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
19:10:53.325287->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
19:10:53.825932->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
19:10:54.326848->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
19:10:54.827946->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
19:10:55.329338->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
19:10:55.831003->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
19:10:56.331812->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
19:10:56.833924->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
19:10:57.334881->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
19:10:57.836132->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
19:10:58.337617->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
19:10:58.838847->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
19:10:59.340216->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
19:10:59.840877->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
19:11:00.341373->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
19:11:00.842438->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
19:11:01.343459->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
19:11:01.844511->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
19:11:02.345605->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
19:11:02.847243->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
19:11:03.348340->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
19:11:03.849772->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
19:11:04.350850->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
19:11:04.851975->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
19:11:05.352894->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
19:11:05.853940->{"CURRENT_RSS": 29995008, "CURRENT_PRECENT": 0.36388789092605817}
