17:27:19.586369->{"CURRENT_PRECENT": 0.26738751810617484, "CURRENT_RSS": 22040576}
17:27:20.087261->{"CURRENT_PRECENT": 0.28045626318365563, "CURRENT_RSS": 23117824}
17:27:20.587942->{"CURRENT_PRECENT": 0.28045626318365563, "CURRENT_RSS": 23117824}
17:27:21.088525->{"CURRENT_PRECENT": 0.286916099153513, "CURRENT_RSS": 23650304}
17:27:21.589253->{"CURRENT_PRECENT": 0.2904441634139736, "CURRENT_RSS": 23941120}
17:27:22.089996->{"CURRENT_PRECENT": 0.2904441634139736, "CURRENT_RSS": 23941120}
17:27:22.601486->{"CURRENT_PRECENT": 0.30430796522620607, "CURRENT_RSS": 25083904}
17:27:23.101888->{"CURRENT_PRECENT": 0.3049539488231918, "CURRENT_RSS": 25137152}
17:27:23.602261->{"CURRENT_PRECENT": 0.3061962249712413, "CURRENT_RSS": 25239552}
17:27:24.102567->{"CURRENT_PRECENT": 0.3061962249712413, "CURRENT_RSS": 25239552}
17:27:24.603310->{"CURRENT_PRECENT": 0.30659375333861716, "CURRENT_RSS": 25272320}
17:27:25.104361->{"CURRENT_PRECENT": 0.30659375333861716, "CURRENT_RSS": 25272320}
17:27:25.605295->{"CURRENT_PRECENT": 0.30674282647638307, "CURRENT_RSS": 25284608}
17:27:26.106370->{"CURRENT_PRECENT": 0.30674282647638307, "CURRENT_RSS": 25284608}
17:27:26.607402->{"CURRENT_PRECENT": 0.30674282647638307, "CURRENT_RSS": 25284608}
17:27:27.108066->{"CURRENT_PRECENT": 0.30674282647638307, "CURRENT_RSS": 25284608}
17:27:27.609209->{"CURRENT_PRECENT": 0.30674282647638307, "CURRENT_RSS": 25284608}
17:27:28.110107->{"CURRENT_PRECENT": 0.30674282647638307, "CURRENT_RSS": 25284608}
17:27:28.611507->{"CURRENT_PRECENT": 0.3117119310685811, "CURRENT_RSS": 25694208}
17:27:29.112930->{"CURRENT_PRECENT": 0.31196038629819095, "CURRENT_RSS": 25714688}
17:27:29.613780->{"CURRENT_PRECENT": 0.31196038629819095, "CURRENT_RSS": 25714688}
17:27:30.114710->{"CURRENT_PRECENT": 0.31196038629819095, "CURRENT_RSS": 25714688}
17:27:30.616310->{"CURRENT_PRECENT": 0.31196038629819095, "CURRENT_RSS": 25714688}
17:27:31.117644->{"CURRENT_PRECENT": 0.3346195032386139, "CURRENT_RSS": 27582464}
17:27:31.619007->{"CURRENT_PRECENT": 0.3403836645655636, "CURRENT_RSS": 28057600}
17:27:32.120387->{"CURRENT_PRECENT": 0.3410296481625494, "CURRENT_RSS": 28110848}
17:27:32.621391->{"CURRENT_PRECENT": 0.3410296481625494, "CURRENT_RSS": 28110848}
17:27:33.122696->{"CURRENT_PRECENT": 0.3410296481625494, "CURRENT_RSS": 28110848}
17:27:33.623743->{"CURRENT_PRECENT": 0.3410296481625494, "CURRENT_RSS": 28110848}
17:27:34.124319->{"CURRENT_PRECENT": 0.3410296481625494, "CURRENT_RSS": 28110848}
17:27:34.625273->{"CURRENT_PRECENT": 0.3410296481625494, "CURRENT_RSS": 28110848}
17:27:35.125747->{"CURRENT_PRECENT": 0.3410296481625494, "CURRENT_RSS": 28110848}
17:27:35.626397->{"CURRENT_PRECENT": 0.3410296481625494, "CURRENT_RSS": 28110848}
17:27:36.127732->{"CURRENT_PRECENT": 0.34132779443808126, "CURRENT_RSS": 28135424}
17:27:36.629087->{"CURRENT_PRECENT": 0.34132779443808126, "CURRENT_RSS": 28135424}
17:27:37.130561->{"CURRENT_PRECENT": 0.34192408698914495, "CURRENT_RSS": 28184576}
17:27:37.631817->{"CURRENT_PRECENT": 0.34192408698914495, "CURRENT_RSS": 28184576}
17:27:38.132863->{"CURRENT_PRECENT": 0.34192408698914495, "CURRENT_RSS": 28184576}
17:27:38.634945->{"CURRENT_PRECENT": 0.34192408698914495, "CURRENT_RSS": 28184576}
17:27:39.136295->{"CURRENT_PRECENT": 0.34192408698914495, "CURRENT_RSS": 28184576}
17:27:39.637481->{"CURRENT_PRECENT": 0.34192408698914495, "CURRENT_RSS": 28184576}
17:27:40.141089->{"CURRENT_PRECENT": 0.34192408698914495, "CURRENT_RSS": 28184576}
17:27:40.643969->{"CURRENT_PRECENT": 0.34192408698914495, "CURRENT_RSS": 28184576}
17:27:41.146295->{"CURRENT_PRECENT": 0.34192408698914495, "CURRENT_RSS": 28184576}
17:27:41.649103->{"CURRENT_PRECENT": 0.34192408698914495, "CURRENT_RSS": 28184576}
17:27:42.151301->{"CURRENT_PRECENT": 0.34192408698914495, "CURRENT_RSS": 28184576}
17:27:42.653348->{"CURRENT_PRECENT": 0.34192408698914495, "CURRENT_RSS": 28184576}
17:27:43.155314->{"CURRENT_PRECENT": 0.34192408698914495, "CURRENT_RSS": 28184576}
17:27:43.657856->{"CURRENT_PRECENT": 0.34192408698914495, "CURRENT_RSS": 28184576}
17:27:44.160536->{"CURRENT_PRECENT": 0.34192408698914495, "CURRENT_RSS": 28184576}
17:27:44.663440->{"CURRENT_PRECENT": 0.34192408698914495, "CURRENT_RSS": 28184576}
17:27:45.165892->{"CURRENT_PRECENT": 0.34192408698914495, "CURRENT_RSS": 28184576}
17:27:45.668780->{"CURRENT_PRECENT": 0.34192408698914495, "CURRENT_RSS": 28184576}
17:27:46.170822->{"CURRENT_PRECENT": 0.34192408698914495, "CURRENT_RSS": 28184576}
17:27:46.672965->{"CURRENT_PRECENT": 0.34192408698914495, "CURRENT_RSS": 28184576}
17:27:47.175020->{"CURRENT_PRECENT": 0.34192408698914495, "CURRENT_RSS": 28184576}
17:27:47.678149->{"CURRENT_PRECENT": 0.34192408698914495, "CURRENT_RSS": 28184576}
17:27:48.180866->{"CURRENT_PRECENT": 0.34192408698914495, "CURRENT_RSS": 28184576}
17:27:48.683501->{"CURRENT_PRECENT": 0.34192408698914495, "CURRENT_RSS": 28184576}
17:27:49.186880->{"CURRENT_PRECENT": 0.34192408698914495, "CURRENT_RSS": 28184576}
17:27:49.688981->{"CURRENT_PRECENT": 0.34192408698914495, "CURRENT_RSS": 28184576}
17:27:50.192828->{"CURRENT_PRECENT": 0.34192408698914495, "CURRENT_RSS": 28184576}
17:27:50.696926->{"CURRENT_PRECENT": 0.34192408698914495, "CURRENT_RSS": 28184576}
17:27:51.199572->{"CURRENT_PRECENT": 0.34192408698914495, "CURRENT_RSS": 28184576}
