21:28:01.779396->{"CURRENT_PRECENT": 0.2658470956825935, "CURRENT_RSS": 21913600}
21:28:02.281912->{"CURRENT_PRECENT": 0.2872639364749669, "CURRENT_RSS": 23678976}
21:28:02.782436->{"CURRENT_PRECENT": 0.2885062126230164, "CURRENT_RSS": 23781376}
21:28:03.287590->{"CURRENT_PRECENT": 0.29372377244482434, "CURRENT_RSS": 24211456}
21:28:03.788472->{"CURRENT_PRECENT": 0.29372377244482434, "CURRENT_RSS": 24211456}
21:28:04.289193->{"CURRENT_PRECENT": 0.29372377244482434, "CURRENT_RSS": 24211456}
21:28:04.789808->{"CURRENT_PRECENT": 0.30758757425705674, "CURRENT_RSS": 25354240}
21:28:05.290385->{"CURRENT_PRECENT": 0.311910695252269, "CURRENT_RSS": 25710592}
21:28:05.791188->{"CURRENT_PRECENT": 0.3122585325737229, "CURRENT_RSS": 25739264}
21:28:06.291637->{"CURRENT_PRECENT": 0.3122585325737229, "CURRENT_RSS": 25739264}
21:28:06.792438->{"CURRENT_PRECENT": 0.31240760571148884, "CURRENT_RSS": 25751552}
21:28:07.293154->{"CURRENT_PRECENT": 0.3124572967574108, "CURRENT_RSS": 25755648}
21:28:07.794045->{"CURRENT_PRECENT": 0.3124572967574108, "CURRENT_RSS": 25755648}
21:28:08.295183->{"CURRENT_PRECENT": 0.3124572967574108, "CURRENT_RSS": 25755648}
21:28:08.796439->{"CURRENT_PRECENT": 0.31275544303294267, "CURRENT_RSS": 25780224}
21:28:09.297082->{"CURRENT_PRECENT": 0.31275544303294267, "CURRENT_RSS": 25780224}
21:28:09.797893->{"CURRENT_PRECENT": 0.3159853610178714, "CURRENT_RSS": 26046464}
21:28:10.298665->{"CURRENT_PRECENT": 0.31603505206379334, "CURRENT_RSS": 26050560}
21:28:10.799136->{"CURRENT_PRECENT": 0.31603505206379334, "CURRENT_RSS": 26050560}
21:28:11.299491->{"CURRENT_PRECENT": 0.31603505206379334, "CURRENT_RSS": 26050560}
21:28:11.799938->{"CURRENT_PRECENT": 0.31603505206379334, "CURRENT_RSS": 26050560}
21:28:12.300795->{"CURRENT_PRECENT": 0.3161841252015593, "CURRENT_RSS": 26062848}
21:28:12.806982->{"CURRENT_PRECENT": 0.3161841252015593, "CURRENT_RSS": 26062848}
21:28:13.308076->{"CURRENT_PRECENT": 0.33874386005013823, "CURRENT_RSS": 27922432}
21:28:13.809593->{"CURRENT_PRECENT": 0.3459490617088254, "CURRENT_RSS": 28516352}
21:28:14.310007->{"CURRENT_PRECENT": 0.3464459721680452, "CURRENT_RSS": 28557312}
21:28:14.810544->{"CURRENT_PRECENT": 0.3464459721680452, "CURRENT_RSS": 28557312}
21:28:15.310977->{"CURRENT_PRECENT": 0.34659504530581114, "CURRENT_RSS": 28569600}
21:28:15.811572->{"CURRENT_PRECENT": 0.34659504530581114, "CURRENT_RSS": 28569600}
21:28:16.312532->{"CURRENT_PRECENT": 0.34659504530581114, "CURRENT_RSS": 28569600}
21:28:16.813231->{"CURRENT_PRECENT": 0.34883114237230023, "CURRENT_RSS": 28753920}
21:28:17.314400->{"CURRENT_PRECENT": 0.34883114237230023, "CURRENT_RSS": 28753920}
21:28:17.815431->{"CURRENT_PRECENT": 0.34883114237230023, "CURRENT_RSS": 28753920}
21:28:18.316420->{"CURRENT_PRECENT": 0.34883114237230023, "CURRENT_RSS": 28753920}
21:28:18.816733->{"CURRENT_PRECENT": 0.34883114237230023, "CURRENT_RSS": 28753920}
21:28:19.317222->{"CURRENT_PRECENT": 0.3489305244641442, "CURRENT_RSS": 28762112}
21:28:19.818411->{"CURRENT_PRECENT": 0.3489305244641442, "CURRENT_RSS": 28762112}
21:28:20.319178->{"CURRENT_PRECENT": 0.3524585887246048, "CURRENT_RSS": 29052928}
21:28:20.820202->{"CURRENT_PRECENT": 0.3523095155868389, "CURRENT_RSS": 29040640}
21:28:21.321534->{"CURRENT_PRECENT": 0.3523095155868389, "CURRENT_RSS": 29040640}
21:28:21.823810->{"CURRENT_PRECENT": 0.3523095155868389, "CURRENT_RSS": 29040640}
21:28:22.325757->{"CURRENT_PRECENT": 0.3523095155868389, "CURRENT_RSS": 29040640}
21:28:22.827174->{"CURRENT_PRECENT": 0.3523095155868389, "CURRENT_RSS": 29040640}
21:28:23.329028->{"CURRENT_PRECENT": 0.3523095155868389, "CURRENT_RSS": 29040640}
21:28:23.830473->{"CURRENT_PRECENT": 0.3523095155868389, "CURRENT_RSS": 29040640}
21:28:24.332335->{"CURRENT_PRECENT": 0.3523095155868389, "CURRENT_RSS": 29040640}
21:28:24.833521->{"CURRENT_PRECENT": 0.3523095155868389, "CURRENT_RSS": 29040640}
21:28:25.334860->{"CURRENT_PRECENT": 0.3621483426793909, "CURRENT_RSS": 29851648}
21:28:25.836135->{"CURRENT_PRECENT": 0.3621483426793909, "CURRENT_RSS": 29851648}
21:28:26.337502->{"CURRENT_PRECENT": 0.3621483426793909, "CURRENT_RSS": 29851648}
21:28:26.839161->{"CURRENT_PRECENT": 0.3621483426793909, "CURRENT_RSS": 29851648}
21:28:27.341180->{"CURRENT_PRECENT": 0.3621483426793909, "CURRENT_RSS": 29851648}
21:28:27.842554->{"CURRENT_PRECENT": 0.3621483426793909, "CURRENT_RSS": 29851648}
21:28:28.344291->{"CURRENT_PRECENT": 0.3621483426793909, "CURRENT_RSS": 29851648}
21:28:28.845836->{"CURRENT_PRECENT": 0.3621483426793909, "CURRENT_RSS": 29851648}
21:28:29.347380->{"CURRENT_PRECENT": 0.3621483426793909, "CURRENT_RSS": 29851648}
21:28:29.848717->{"CURRENT_PRECENT": 0.3621483426793909, "CURRENT_RSS": 29851648}
21:28:30.349999->{"CURRENT_PRECENT": 0.3621483426793909, "CURRENT_RSS": 29851648}
21:28:30.851258->{"CURRENT_PRECENT": 0.3621483426793909, "CURRENT_RSS": 29851648}
21:28:31.352124->{"CURRENT_PRECENT": 0.3621483426793909, "CURRENT_RSS": 29851648}
