21:34:28.586911->{"CURRENT_PRECENT": 0.2815991572398612, "CURRENT_RSS": 23212032}
21:34:29.093578->{"CURRENT_PRECENT": 0.3062459160171633, "CURRENT_RSS": 25243648}
21:34:29.593910->{"CURRENT_PRECENT": 0.30937645191024804, "CURRENT_RSS": 25501696}
21:34:30.094748->{"CURRENT_PRECENT": 0.3138983370891482, "CURRENT_RSS": 25874432}
21:34:30.595555->{"CURRENT_PRECENT": 0.3138983370891482, "CURRENT_RSS": 25874432}
21:34:31.096164->{"CURRENT_PRECENT": 0.3180723849465945, "CURRENT_RSS": 26218496}
21:34:31.596576->{"CURRENT_PRECENT": 0.331985877804749, "CURRENT_RSS": 27365376}
21:34:32.097902->{"CURRENT_PRECENT": 0.33228402408028085, "CURRENT_RSS": 27389952}
21:34:32.598715->{"CURRENT_PRECENT": 0.33228402408028085, "CURRENT_RSS": 27389952}
21:34:33.099248->{"CURRENT_PRECENT": 0.33283062558542265, "CURRENT_RSS": 27435008}
21:34:33.599872->{"CURRENT_PRECENT": 0.3329300076772666, "CURRENT_RSS": 27443200}
21:34:34.100596->{"CURRENT_PRECENT": 0.3331287718609545, "CURRENT_RSS": 27459584}
21:34:34.601210->{"CURRENT_PRECENT": 0.3364083808918052, "CURRENT_RSS": 27729920}
21:34:35.101975->{"CURRENT_PRECENT": 0.336756218213259, "CURRENT_RSS": 27758592}
21:34:35.602865->{"CURRENT_PRECENT": 0.336756218213259, "CURRENT_RSS": 27758592}
21:34:36.103747->{"CURRENT_PRECENT": 0.3371040555347129, "CURRENT_RSS": 27787264}
21:34:36.604906->{"CURRENT_PRECENT": 0.3371040555347129, "CURRENT_RSS": 27787264}
21:34:37.105783->{"CURRENT_PRECENT": 0.3371040555347129, "CURRENT_RSS": 27787264}
21:34:37.606850->{"CURRENT_PRECENT": 0.3371040555347129, "CURRENT_RSS": 27787264}
21:34:38.108481->{"CURRENT_PRECENT": 0.3371040555347129, "CURRENT_RSS": 27787264}
21:34:38.609283->{"CURRENT_PRECENT": 0.3371040555347129, "CURRENT_RSS": 27787264}
21:34:39.110032->{"CURRENT_PRECENT": 0.3431663631371945, "CURRENT_RSS": 28286976}
21:34:39.610994->{"CURRENT_PRECENT": 0.34599875275474734, "CURRENT_RSS": 28520448}
21:34:40.111896->{"CURRENT_PRECENT": 0.34599875275474734, "CURRENT_RSS": 28520448}
21:34:40.612709->{"CURRENT_PRECENT": 0.3462968990302792, "CURRENT_RSS": 28545024}
21:34:41.113348->{"CURRENT_PRECENT": 0.3462968990302792, "CURRENT_RSS": 28545024}
21:34:41.613992->{"CURRENT_PRECENT": 0.3462968990302792, "CURRENT_RSS": 28545024}
21:34:42.115059->{"CURRENT_PRECENT": 0.3462968990302792, "CURRENT_RSS": 28545024}
21:34:42.615896->{"CURRENT_PRECENT": 0.3462968990302792, "CURRENT_RSS": 28545024}
21:34:43.116894->{"CURRENT_PRECENT": 0.3462968990302792, "CURRENT_RSS": 28545024}
21:34:43.617990->{"CURRENT_PRECENT": 0.3462968990302792, "CURRENT_RSS": 28545024}
21:34:44.119112->{"CURRENT_PRECENT": 0.3462968990302792, "CURRENT_RSS": 28545024}
21:34:44.619995->{"CURRENT_PRECENT": 0.3464459721680452, "CURRENT_RSS": 28557312}
21:34:45.120469->{"CURRENT_PRECENT": 0.3464956632139672, "CURRENT_RSS": 28561408}
21:34:45.621619->{"CURRENT_PRECENT": 0.3464956632139672, "CURRENT_RSS": 28561408}
21:34:46.122787->{"CURRENT_PRECENT": 0.3487814513263782, "CURRENT_RSS": 28749824}
21:34:46.623919->{"CURRENT_PRECENT": 0.3489802155100662, "CURRENT_RSS": 28766208}
21:34:47.125398->{"CURRENT_PRECENT": 0.3489802155100662, "CURRENT_RSS": 28766208}
21:34:47.626664->{"CURRENT_PRECENT": 0.3489802155100662, "CURRENT_RSS": 28766208}
21:34:48.127860->{"CURRENT_PRECENT": 0.3489802155100662, "CURRENT_RSS": 28766208}
21:34:48.628741->{"CURRENT_PRECENT": 0.3489802155100662, "CURRENT_RSS": 28766208}
21:34:49.129916->{"CURRENT_PRECENT": 0.3489802155100662, "CURRENT_RSS": 28766208}
21:34:49.630390->{"CURRENT_PRECENT": 0.3489802155100662, "CURRENT_RSS": 28766208}
21:34:50.131301->{"CURRENT_PRECENT": 0.3489802155100662, "CURRENT_RSS": 28766208}
21:34:50.632711->{"CURRENT_PRECENT": 0.3489802155100662, "CURRENT_RSS": 28766208}
21:34:51.133948->{"CURRENT_PRECENT": 0.3489802155100662, "CURRENT_RSS": 28766208}
21:34:51.635366->{"CURRENT_PRECENT": 0.3489802155100662, "CURRENT_RSS": 28766208}
21:34:52.136118->{"CURRENT_PRECENT": 0.3489802155100662, "CURRENT_RSS": 28766208}
21:34:52.636716->{"CURRENT_PRECENT": 0.3489802155100662, "CURRENT_RSS": 28766208}
21:34:53.138018->{"CURRENT_PRECENT": 0.3489802155100662, "CURRENT_RSS": 28766208}
21:34:53.638557->{"CURRENT_PRECENT": 0.3489802155100662, "CURRENT_RSS": 28766208}
21:34:54.139010->{"CURRENT_PRECENT": 0.3489802155100662, "CURRENT_RSS": 28766208}
21:34:54.639377->{"CURRENT_PRECENT": 0.3489802155100662, "CURRENT_RSS": 28766208}
21:34:55.140227->{"CURRENT_PRECENT": 0.3489802155100662, "CURRENT_RSS": 28766208}
21:34:55.641039->{"CURRENT_PRECENT": 0.3489802155100662, "CURRENT_RSS": 28766208}
21:34:56.141511->{"CURRENT_PRECENT": 0.3489802155100662, "CURRENT_RSS": 28766208}
21:34:56.641968->{"CURRENT_PRECENT": 0.3489802155100662, "CURRENT_RSS": 28766208}
21:34:57.142928->{"CURRENT_PRECENT": 0.3489802155100662, "CURRENT_RSS": 28766208}
21:34:57.643649->{"CURRENT_PRECENT": 0.3489802155100662, "CURRENT_RSS": 28766208}
21:34:58.145303->{"CURRENT_PRECENT": 0.3489802155100662, "CURRENT_RSS": 28766208}
21:34:58.646825->{"CURRENT_PRECENT": 0.3489802155100662, "CURRENT_RSS": 28766208}
21:34:59.148207->{"CURRENT_PRECENT": 0.3489802155100662, "CURRENT_RSS": 28766208}
21:34:59.648582->{"CURRENT_PRECENT": 0.3489802155100662, "CURRENT_RSS": 28766208}
21:35:00.150023->{"CURRENT_PRECENT": 0.3489802155100662, "CURRENT_RSS": 28766208}
21:35:00.650517->{"CURRENT_PRECENT": 0.3489802155100662, "CURRENT_RSS": 28766208}
21:35:01.151587->{"CURRENT_PRECENT": 0.3489802155100662, "CURRENT_RSS": 28766208}
21:35:01.652421->{"CURRENT_PRECENT": 0.3489802155100662, "CURRENT_RSS": 28766208}
21:35:02.153455->{"CURRENT_PRECENT": 0.3489802155100662, "CURRENT_RSS": 28766208}
21:35:02.654494->{"CURRENT_PRECENT": 0.3526573529082927, "CURRENT_RSS": 29069312}
21:35:03.155296->{"CURRENT_PRECENT": 0.3526573529082927, "CURRENT_RSS": 29069312}
21:35:03.656118->{"CURRENT_PRECENT": 0.3526573529082927, "CURRENT_RSS": 29069312}
21:35:04.157448->{"CURRENT_PRECENT": 0.3526573529082927, "CURRENT_RSS": 29069312}
21:35:04.659037->{"CURRENT_PRECENT": 0.3526573529082927, "CURRENT_RSS": 29069312}
21:35:05.159971->{"CURRENT_PRECENT": 0.3526573529082927, "CURRENT_RSS": 29069312}
21:35:05.660638->{"CURRENT_PRECENT": 0.3526573529082927, "CURRENT_RSS": 29069312}
21:35:06.161952->{"CURRENT_PRECENT": 0.3526573529082927, "CURRENT_RSS": 29069312}
21:35:06.663406->{"CURRENT_PRECENT": 0.3526573529082927, "CURRENT_RSS": 29069312}
21:35:07.164399->{"CURRENT_PRECENT": 0.3528561170919806, "CURRENT_RSS": 29085696}
21:35:07.664919->{"CURRENT_PRECENT": 0.3528561170919806, "CURRENT_RSS": 29085696}
21:35:08.166015->{"CURRENT_PRECENT": 0.3528561170919806, "CURRENT_RSS": 29085696}
21:35:08.667150->{"CURRENT_PRECENT": 0.3528561170919806, "CURRENT_RSS": 29085696}
21:35:09.168092->{"CURRENT_PRECENT": 0.3528561170919806, "CURRENT_RSS": 29085696}
21:35:09.668442->{"CURRENT_PRECENT": 0.3528561170919806, "CURRENT_RSS": 29085696}
21:35:10.168892->{"CURRENT_PRECENT": 0.3528561170919806, "CURRENT_RSS": 29085696}
21:35:10.669955->{"CURRENT_PRECENT": 0.3528561170919806, "CURRENT_RSS": 29085696}
21:35:11.170934->{"CURRENT_PRECENT": 0.3528561170919806, "CURRENT_RSS": 29085696}
21:35:11.671636->{"CURRENT_PRECENT": 0.3527070439542147, "CURRENT_RSS": 29073408}
21:35:12.172378->{"CURRENT_PRECENT": 0.3527070439542147, "CURRENT_RSS": 29073408}
21:35:12.672777->{"CURRENT_PRECENT": 0.3527070439542147, "CURRENT_RSS": 29073408}
21:35:13.173578->{"CURRENT_PRECENT": 0.3527070439542147, "CURRENT_RSS": 29073408}
21:35:13.674155->{"CURRENT_PRECENT": 0.3527070439542147, "CURRENT_RSS": 29073408}
21:35:14.175794->{"CURRENT_PRECENT": 0.3527070439542147, "CURRENT_RSS": 29073408}
21:35:14.677255->{"CURRENT_PRECENT": 0.3527070439542147, "CURRENT_RSS": 29073408}
21:35:15.178771->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:35:15.680184->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:35:16.181291->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:35:16.682788->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:35:17.184195->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:35:17.685602->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:35:18.187180->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:35:18.689363->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:35:19.190665->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:35:19.691743->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:35:20.192723->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:35:20.693703->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:35:21.195172->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:35:21.696254->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:35:22.197230->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:35:22.698623->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:35:23.200113->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:35:23.701158->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:35:24.202587->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:35:24.703526->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:35:25.204935->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:35:25.705995->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:35:26.207437->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:35:26.708499->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:35:27.208899->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:35:27.709294->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:35:28.209989->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:35:28.710821->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:35:29.212212->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:35:29.713183->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:35:30.214309->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:35:30.715304->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:35:31.218012->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:35:31.719274->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:35:32.220545->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:35:32.721991->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:35:33.223391->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:35:33.724321->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:35:34.225208->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:35:34.726756->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:35:35.227779->{"CURRENT_PRECENT": 0.35464499474517186, "CURRENT_RSS": 29233152}
21:35:35.729069->{"CURRENT_PRECENT": 0.35464499474517186, "CURRENT_RSS": 29233152}
21:35:36.230229->{"CURRENT_PRECENT": 0.35464499474517186, "CURRENT_RSS": 29233152}
21:35:36.731357->{"CURRENT_PRECENT": 0.35464499474517186, "CURRENT_RSS": 29233152}
21:35:37.232838->{"CURRENT_PRECENT": 0.35464499474517186, "CURRENT_RSS": 29233152}
21:35:37.734064->{"CURRENT_PRECENT": 0.35464499474517186, "CURRENT_RSS": 29233152}
