21:37:58.051702->{"CURRENT_PRECENT": 0.27752449147425884, "CURRENT_RSS": 22876160}
21:37:58.553436->{"CURRENT_PRECENT": 0.2827420512960667, "CURRENT_RSS": 23306240}
21:37:59.054272->{"CURRENT_PRECENT": 0.30758757425705674, "CURRENT_RSS": 25354240}
21:37:59.554553->{"CURRENT_PRECENT": 0.30758757425705674, "CURRENT_RSS": 25354240}
21:38:00.055700->{"CURRENT_PRECENT": 0.31136409374712726, "CURRENT_RSS": 25665536}
21:38:00.556536->{"CURRENT_PRECENT": 0.3156375236964175, "CURRENT_RSS": 26017792}
21:38:01.057168->{"CURRENT_PRECENT": 0.3156375236964175, "CURRENT_RSS": 26017792}
21:38:01.557889->{"CURRENT_PRECENT": 0.3156375236964175, "CURRENT_RSS": 26017792}
21:38:02.058304->{"CURRENT_PRECENT": 0.32950132550864997, "CURRENT_RSS": 27160576}
21:38:02.559218->{"CURRENT_PRECENT": 0.33074360165669947, "CURRENT_RSS": 27262976}
21:38:03.059595->{"CURRENT_PRECENT": 0.33074360165669947, "CURRENT_RSS": 27262976}
21:38:03.560649->{"CURRENT_PRECENT": 0.3309423658403874, "CURRENT_RSS": 27279360}
21:38:04.061966->{"CURRENT_PRECENT": 0.33104174793223134, "CURRENT_RSS": 27287552}
21:38:04.563381->{"CURRENT_PRECENT": 0.33104174793223134, "CURRENT_RSS": 27287552}
21:38:05.064604->{"CURRENT_PRECENT": 0.33119082106999725, "CURRENT_RSS": 27299840}
21:38:05.573965->{"CURRENT_PRECENT": 0.33119082106999725, "CURRENT_RSS": 27299840}
21:38:06.075363->{"CURRENT_PRECENT": 0.33119082106999725, "CURRENT_RSS": 27299840}
21:38:06.576734->{"CURRENT_PRECENT": 0.33119082106999725, "CURRENT_RSS": 27299840}
21:38:07.077983->{"CURRENT_PRECENT": 0.33119082106999725, "CURRENT_RSS": 27299840}
21:38:07.579215->{"CURRENT_PRECENT": 0.33119082106999725, "CURRENT_RSS": 27299840}
21:38:08.080236->{"CURRENT_PRECENT": 0.33163804048329515, "CURRENT_RSS": 27336704}
21:38:08.581281->{"CURRENT_PRECENT": 0.336905291351025, "CURRENT_RSS": 27770880}
21:38:09.082502->{"CURRENT_PRECENT": 0.33973768096857787, "CURRENT_RSS": 28004352}
21:38:09.583369->{"CURRENT_PRECENT": 0.33983706306042183, "CURRENT_RSS": 28012544}
21:38:10.083909->{"CURRENT_PRECENT": 0.33983706306042183, "CURRENT_RSS": 28012544}
21:38:10.584687->{"CURRENT_PRECENT": 0.33983706306042183, "CURRENT_RSS": 28012544}
21:38:11.085075->{"CURRENT_PRECENT": 0.34003582724410975, "CURRENT_RSS": 28028928}
21:38:11.585924->{"CURRENT_PRECENT": 0.34003582724410975, "CURRENT_RSS": 28028928}
21:38:12.086615->{"CURRENT_PRECENT": 0.34003582724410975, "CURRENT_RSS": 28028928}
21:38:12.587167->{"CURRENT_PRECENT": 0.34003582724410975, "CURRENT_RSS": 28028928}
21:38:13.088039->{"CURRENT_PRECENT": 0.3400855182900317, "CURRENT_RSS": 28033024}
21:38:13.588600->{"CURRENT_PRECENT": 0.34018490038187565, "CURRENT_RSS": 28041216}
21:38:14.089571->{"CURRENT_PRECENT": 0.34018490038187565, "CURRENT_RSS": 28041216}
21:38:14.589996->{"CURRENT_PRECENT": 0.33988675410634384, "CURRENT_RSS": 28016640}
21:38:15.090186->{"CURRENT_PRECENT": 0.33973768096857787, "CURRENT_RSS": 28004352}
21:38:15.590755->{"CURRENT_PRECENT": 0.34107933920847133, "CURRENT_RSS": 28114944}
