19:10:04.594151->{"CURRENT_PRECENT": 0.2672387105558297, "CURRENT_RSS": 22028288}
19:10:05.095324->{"CURRENT_PRECENT": 0.2882580438702804, "CURRENT_RSS": 23760896}
19:10:05.596062->{"CURRENT_PRECENT": 0.2894506301576251, "CURRENT_RSS": 23859200}
19:10:06.096764->{"CURRENT_PRECENT": 0.2913885828745603, "CURRENT_RSS": 24018944}
19:10:06.597756->{"CURRENT_PRECENT": 0.2981962629314864, "CURRENT_RSS": 24580096}
19:10:07.098494->{"CURRENT_PRECENT": 0.312358225093705, "CURRENT_RSS": 25747456}
19:10:07.599261->{"CURRENT_PRECENT": 0.312358225093705, "CURRENT_RSS": 25747456}
19:10:08.099787->{"CURRENT_PRECENT": 0.31250729837962304, "CURRENT_RSS": 25759744}
19:10:08.600597->{"CURRENT_PRECENT": 0.31250729837962304, "CURRENT_RSS": 25759744}
19:10:09.101433->{"CURRENT_PRECENT": 0.31265637166554117, "CURRENT_RSS": 25772032}
19:10:09.601997->{"CURRENT_PRECENT": 0.31280544495145923, "CURRENT_RSS": 25784320}
19:10:10.102792->{"CURRENT_PRECENT": 0.31280544495145923, "CURRENT_RSS": 25784320}
19:10:10.604062->{"CURRENT_PRECENT": 0.3131035915232954, "CURRENT_RSS": 25808896}
19:10:11.105119->{"CURRENT_PRECENT": 0.3131035915232954, "CURRENT_RSS": 25808896}
19:10:11.606000->{"CURRENT_PRECENT": 0.3131035915232954, "CURRENT_RSS": 25808896}
19:10:12.106918->{"CURRENT_PRECENT": 0.31330235590451955, "CURRENT_RSS": 25825280}
19:10:12.607984->{"CURRENT_PRECENT": 0.3134514291904376, "CURRENT_RSS": 25837568}
19:10:13.108810->{"CURRENT_PRECENT": 0.31360050247635574, "CURRENT_RSS": 25849856}
19:10:13.610068->{"CURRENT_PRECENT": 0.31360050247635574, "CURRENT_RSS": 25849856}
19:10:14.110880->{"CURRENT_PRECENT": 0.3242840879671522, "CURRENT_RSS": 26730496}
19:10:14.611391->{"CURRENT_PRECENT": 0.3247809989202125, "CURRENT_RSS": 26771456}
19:10:15.112882->{"CURRENT_PRECENT": 0.32860721325877684, "CURRENT_RSS": 27086848}
