17:26:47.530665->{"CURRENT_RSS": 22880256, "CURRENT_PRECENT": 0.2775741825201808}
17:26:48.032420->{"CURRENT_RSS": 23662592, "CURRENT_PRECENT": 0.287065172291279}
17:26:48.533106->{"CURRENT_RSS": 23764992, "CURRENT_PRECENT": 0.2883074484393285}
17:26:49.033801->{"CURRENT_RSS": 24195072, "CURRENT_PRECENT": 0.29352500826113637}
17:26:49.534428->{"CURRENT_RSS": 24498176, "CURRENT_PRECENT": 0.2972021456593629}
17:26:50.035421->{"CURRENT_RSS": 24498176, "CURRENT_PRECENT": 0.2972021456593629}
17:26:50.536247->{"CURRENT_RSS": 25571328, "CURRENT_PRECENT": 0.31022119969092166}
17:26:51.036682->{"CURRENT_RSS": 25571328, "CURRENT_PRECENT": 0.31022119969092166}
17:26:51.537276->{"CURRENT_RSS": 25571328, "CURRENT_PRECENT": 0.31022119969092166}
17:26:52.037671->{"CURRENT_RSS": 25571328, "CURRENT_PRECENT": 0.31022119969092166}
17:26:52.538376->{"CURRENT_RSS": 25583616, "CURRENT_PRECENT": 0.3103702728286876}
17:26:53.039456->{"CURRENT_RSS": 25661440, "CURRENT_PRECENT": 0.31131440270120525}
17:26:53.540175->{"CURRENT_RSS": 25673728, "CURRENT_PRECENT": 0.3114634758389712}
17:26:54.041323->{"CURRENT_RSS": 26214400, "CURRENT_PRECENT": 0.31802269390067256}
17:26:54.541839->{"CURRENT_RSS": 26214400, "CURRENT_PRECENT": 0.31802269390067256}
17:26:55.043181->{"CURRENT_RSS": 26214400, "CURRENT_PRECENT": 0.31802269390067256}
17:26:55.544436->{"CURRENT_RSS": 26214400, "CURRENT_PRECENT": 0.31802269390067256}
17:26:56.045373->{"CURRENT_RSS": 26238976, "CURRENT_PRECENT": 0.31832084017620443}
17:26:56.546470->{"CURRENT_RSS": 26238976, "CURRENT_PRECENT": 0.31832084017620443}
17:26:57.047349->{"CURRENT_RSS": 26238976, "CURRENT_PRECENT": 0.31832084017620443}
17:26:57.547680->{"CURRENT_RSS": 26255360, "CURRENT_PRECENT": 0.3185196043598924}
17:26:58.048885->{"CURRENT_RSS": 28200960, "CURRENT_PRECENT": 0.3421228511728329}
17:26:58.549364->{"CURRENT_RSS": 28766208, "CURRENT_PRECENT": 0.3489802155100662}
17:26:59.050167->{"CURRENT_RSS": 28815360, "CURRENT_PRECENT": 0.34957650806112994}
17:26:59.550674->{"CURRENT_RSS": 28876800, "CURRENT_PRECENT": 0.35032187374995966}
17:27:00.051215->{"CURRENT_RSS": 28876800, "CURRENT_PRECENT": 0.35032187374995966}
17:27:00.551827->{"CURRENT_RSS": 28876800, "CURRENT_PRECENT": 0.35032187374995966}
17:27:01.052621->{"CURRENT_RSS": 28876800, "CURRENT_PRECENT": 0.35032187374995966}
17:27:01.553362->{"CURRENT_RSS": 29642752, "CURRENT_PRECENT": 0.35961409933736993}
17:27:02.054126->{"CURRENT_RSS": 29655040, "CURRENT_PRECENT": 0.35976317247513584}
17:27:02.555125->{"CURRENT_RSS": 29655040, "CURRENT_PRECENT": 0.35976317247513584}
17:27:03.056557->{"CURRENT_RSS": 29655040, "CURRENT_PRECENT": 0.35976317247513584}
17:27:03.557954->{"CURRENT_RSS": 29655040, "CURRENT_PRECENT": 0.35976317247513584}
17:27:04.060120->{"CURRENT_RSS": 29925376, "CURRENT_PRECENT": 0.36304278150598657}
17:27:04.561906->{"CURRENT_RSS": 29925376, "CURRENT_PRECENT": 0.36304278150598657}
17:27:05.063863->{"CURRENT_RSS": 29937664, "CURRENT_PRECENT": 0.3631918546437525}
17:27:05.565422->{"CURRENT_RSS": 29937664, "CURRENT_PRECENT": 0.3631918546437525}
17:27:06.067274->{"CURRENT_RSS": 29937664, "CURRENT_PRECENT": 0.3631918546437525}
17:27:06.569091->{"CURRENT_RSS": 29937664, "CURRENT_PRECENT": 0.3631918546437525}
17:27:07.070470->{"CURRENT_RSS": 29937664, "CURRENT_PRECENT": 0.3631918546437525}
17:27:07.571913->{"CURRENT_RSS": 29937664, "CURRENT_PRECENT": 0.3631918546437525}
17:27:08.073751->{"CURRENT_RSS": 29937664, "CURRENT_PRECENT": 0.3631918546437525}
17:27:08.575446->{"CURRENT_RSS": 29937664, "CURRENT_PRECENT": 0.3631918546437525}
17:27:09.077181->{"CURRENT_RSS": 29937664, "CURRENT_PRECENT": 0.3631918546437525}
17:27:09.578694->{"CURRENT_RSS": 29937664, "CURRENT_PRECENT": 0.3631918546437525}
17:27:10.080294->{"CURRENT_RSS": 29937664, "CURRENT_PRECENT": 0.3631918546437525}
17:27:10.581843->{"CURRENT_RSS": 29937664, "CURRENT_PRECENT": 0.3631918546437525}
17:27:11.083597->{"CURRENT_RSS": 29937664, "CURRENT_PRECENT": 0.3631918546437525}
17:27:11.584898->{"CURRENT_RSS": 29937664, "CURRENT_PRECENT": 0.3631918546437525}
17:27:12.085865->{"CURRENT_RSS": 29937664, "CURRENT_PRECENT": 0.3631918546437525}
17:27:12.587110->{"CURRENT_RSS": 29937664, "CURRENT_PRECENT": 0.3631918546437525}
17:27:13.088300->{"CURRENT_RSS": 29937664, "CURRENT_PRECENT": 0.3631918546437525}
17:27:13.590028->{"CURRENT_RSS": 29937664, "CURRENT_PRECENT": 0.3631918546437525}
17:27:14.092291->{"CURRENT_RSS": 29937664, "CURRENT_PRECENT": 0.3631918546437525}
17:27:14.593879->{"CURRENT_RSS": 29937664, "CURRENT_PRECENT": 0.3631918546437525}
17:27:15.095553->{"CURRENT_RSS": 29937664, "CURRENT_PRECENT": 0.3631918546437525}
17:27:15.596947->{"CURRENT_RSS": 29937664, "CURRENT_PRECENT": 0.3631918546437525}
17:27:16.098332->{"CURRENT_RSS": 29937664, "CURRENT_PRECENT": 0.3631918546437525}
17:27:16.599979->{"CURRENT_RSS": 29937664, "CURRENT_PRECENT": 0.3631918546437525}
17:27:17.101745->{"CURRENT_RSS": 29937664, "CURRENT_PRECENT": 0.3631918546437525}
17:27:17.603424->{"CURRENT_RSS": 29937664, "CURRENT_PRECENT": 0.3631918546437525}
17:27:18.104715->{"CURRENT_RSS": 29937664, "CURRENT_PRECENT": 0.3631918546437525}
17:27:18.605895->{"CURRENT_RSS": 29937664, "CURRENT_PRECENT": 0.3631918546437525}
