21:28:02.026641->{"CURRENT_PRECENT": 0.2648035837182319, "CURRENT_RSS": 21827584}
21:28:02.531719->{"CURRENT_PRECENT": 0.2875123917045768, "CURRENT_RSS": 23699456}
21:28:03.032181->{"CURRENT_PRECENT": 0.28875466785262627, "CURRENT_RSS": 23801856}
21:28:03.533939->{"CURRENT_PRECENT": 0.29143798433241325, "CURRENT_RSS": 24023040}
21:28:04.034924->{"CURRENT_PRECENT": 0.2939225366285122, "CURRENT_RSS": 24227840}
21:28:04.535578->{"CURRENT_PRECENT": 0.3122585325737229, "CURRENT_RSS": 25739264}
21:28:05.036350->{"CURRENT_PRECENT": 0.31240760571148884, "CURRENT_RSS": 25751552}
21:28:05.536917->{"CURRENT_PRECENT": 0.31255667884925475, "CURRENT_RSS": 25763840}
21:28:06.037667->{"CURRENT_PRECENT": 0.3127057519870207, "CURRENT_RSS": 25776128}
21:28:06.538231->{"CURRENT_PRECENT": 0.31285482512478663, "CURRENT_RSS": 25788416}
21:28:07.038532->{"CURRENT_PRECENT": 0.3130038982625526, "CURRENT_RSS": 25800704}
21:28:07.538903->{"CURRENT_PRECENT": 0.31325235349216246, "CURRENT_RSS": 25821184}
21:28:08.039661->{"CURRENT_PRECENT": 0.3134014266299284, "CURRENT_RSS": 25833472}
21:28:08.540373->{"CURRENT_PRECENT": 0.3136498818595383, "CURRENT_RSS": 25853952}
21:28:09.041093->{"CURRENT_PRECENT": 0.31379895499730426, "CURRENT_RSS": 25866240}
21:28:09.542013->{"CURRENT_PRECENT": 0.3140474102269142, "CURRENT_RSS": 25886720}
21:28:10.043010->{"CURRENT_PRECENT": 0.32045755515084956, "CURRENT_RSS": 26415104}
21:28:10.544367->{"CURRENT_PRECENT": 0.32080539247230344, "CURRENT_RSS": 26443776}
21:28:11.045166->{"CURRENT_PRECENT": 0.32080539247230344, "CURRENT_RSS": 26443776}
21:28:11.545939->{"CURRENT_PRECENT": 0.32080539247230344, "CURRENT_RSS": 26443776}
21:28:12.047155->{"CURRENT_PRECENT": 0.3209544656100694, "CURRENT_RSS": 26456064}
21:28:12.548599->{"CURRENT_PRECENT": 0.3447067855607759, "CURRENT_RSS": 28413952}
21:28:13.049659->{"CURRENT_PRECENT": 0.351862296173541, "CURRENT_RSS": 29003776}
21:28:13.550245->{"CURRENT_PRECENT": 0.3528064260460586, "CURRENT_RSS": 29081600}
21:28:14.051760->{"CURRENT_PRECENT": 0.3528561170919806, "CURRENT_RSS": 29085696}
21:28:14.553277->{"CURRENT_PRECENT": 0.35305488127566853, "CURRENT_RSS": 29102080}
21:28:15.054353->{"CURRENT_PRECENT": 0.35305488127566853, "CURRENT_RSS": 29102080}
21:28:15.555283->{"CURRENT_PRECENT": 0.35305488127566853, "CURRENT_RSS": 29102080}
21:28:16.056759->{"CURRENT_PRECENT": 0.35305488127566853, "CURRENT_RSS": 29102080}
21:28:16.557957->{"CURRENT_PRECENT": 0.35305488127566853, "CURRENT_RSS": 29102080}
21:28:17.058793->{"CURRENT_PRECENT": 0.35394932010226415, "CURRENT_RSS": 29175808}
21:28:17.560255->{"CURRENT_PRECENT": 0.35394932010226415, "CURRENT_RSS": 29175808}
21:28:18.061252->{"CURRENT_PRECENT": 0.35394932010226415, "CURRENT_RSS": 29175808}
21:28:18.562005->{"CURRENT_PRECENT": 0.35394932010226415, "CURRENT_RSS": 29175808}
21:28:19.063009->{"CURRENT_PRECENT": 0.35394932010226415, "CURRENT_RSS": 29175808}
21:28:19.563424->{"CURRENT_PRECENT": 0.35394932010226415, "CURRENT_RSS": 29175808}
21:28:20.064484->{"CURRENT_PRECENT": 0.3572289291331149, "CURRENT_RSS": 29446144}
21:28:20.564836->{"CURRENT_PRECENT": 0.3584215142352424, "CURRENT_RSS": 29544448}
21:28:21.066531->{"CURRENT_PRECENT": 0.3584215142352424, "CURRENT_RSS": 29544448}
21:28:21.567750->{"CURRENT_PRECENT": 0.3584215142352424, "CURRENT_RSS": 29544448}
