19:18:01.673048->{"CURRENT_PRECENT": 0.2813012905274362, "CURRENT_RSS": 23187456}
19:18:02.173887->{"CURRENT_PRECENT": 0.2844318295317161, "CURRENT_RSS": 23445504}
19:18:02.674605->{"CURRENT_PRECENT": 0.2844318295317161, "CURRENT_RSS": 23445504}
19:18:03.175221->{"CURRENT_PRECENT": 0.2903947609684397, "CURRENT_RSS": 23937024}
19:18:03.676208->{"CURRENT_PRECENT": 0.2943700485929221, "CURRENT_RSS": 24264704}
19:18:04.176967->{"CURRENT_PRECENT": 0.2943700485929221, "CURRENT_RSS": 24264704}
19:18:04.687856->{"CURRENT_PRECENT": 0.30883015732697683, "CURRENT_RSS": 25456640}
19:18:05.188404->{"CURRENT_PRECENT": 0.30927737718473114, "CURRENT_RSS": 25493504}
19:18:05.689016->{"CURRENT_PRECENT": 0.30927737718473114, "CURRENT_RSS": 25493504}
19:18:06.189893->{"CURRENT_PRECENT": 0.3094264504706492, "CURRENT_RSS": 25505792}
19:18:06.691149->{"CURRENT_PRECENT": 0.3094264504706492, "CURRENT_RSS": 25505792}
19:18:07.192698->{"CURRENT_PRECENT": 0.30962521485187333, "CURRENT_RSS": 25522176}
19:18:07.693952->{"CURRENT_PRECENT": 0.30962521485187333, "CURRENT_RSS": 25522176}
19:18:08.194731->{"CURRENT_PRECENT": 0.30962521485187333, "CURRENT_RSS": 25522176}
19:18:08.695310->{"CURRENT_PRECENT": 0.30962521485187333, "CURRENT_RSS": 25522176}
19:18:09.195935->{"CURRENT_PRECENT": 0.30967490594717934, "CURRENT_RSS": 25526272}
19:18:09.696875->{"CURRENT_PRECENT": 0.30967490594717934, "CURRENT_RSS": 25526272}
19:18:10.197927->{"CURRENT_PRECENT": 0.30967490594717934, "CURRENT_RSS": 25526272}
19:18:10.698858->{"CURRENT_PRECENT": 0.31046996347207584, "CURRENT_RSS": 25591808}
19:18:11.200275->{"CURRENT_PRECENT": 0.3106190367579939, "CURRENT_RSS": 25604096}
19:18:11.701300->{"CURRENT_PRECENT": 0.337154081651414, "CURRENT_RSS": 27791360}
19:18:12.201888->{"CURRENT_PRECENT": 0.33904234327304317, "CURRENT_RSS": 27947008}
19:18:12.703401->{"CURRENT_PRECENT": 0.34088091379936625, "CURRENT_RSS": 28098560}
19:18:13.204615->{"CURRENT_PRECENT": 0.34147720694303857, "CURRENT_RSS": 28147712}
19:18:13.705937->{"CURRENT_PRECENT": 0.34147720694303857, "CURRENT_RSS": 28147712}
19:18:14.207450->{"CURRENT_PRECENT": 0.3416262802289567, "CURRENT_RSS": 28160000}
19:18:14.708476->{"CURRENT_PRECENT": 0.3416262802289567, "CURRENT_RSS": 28160000}
19:18:15.209803->{"CURRENT_PRECENT": 0.3416262802289567, "CURRENT_RSS": 28160000}
19:18:15.710941->{"CURRENT_PRECENT": 0.3416262802289567, "CURRENT_RSS": 28160000}
19:18:16.211963->{"CURRENT_PRECENT": 0.3416262802289567, "CURRENT_RSS": 28160000}
19:18:16.713480->{"CURRENT_PRECENT": 0.34177535351487476, "CURRENT_RSS": 28172288}
19:18:17.214984->{"CURRENT_PRECENT": 0.34232195556324113, "CURRENT_RSS": 28217344}
19:18:17.716296->{"CURRENT_PRECENT": 0.34232195556324113, "CURRENT_RSS": 28217344}
19:18:18.217238->{"CURRENT_PRECENT": 0.34232195556324113, "CURRENT_RSS": 28217344}
19:18:18.717938->{"CURRENT_PRECENT": 0.3456015678534391, "CURRENT_RSS": 28487680}
19:18:19.218914->{"CURRENT_PRECENT": 0.3456015678534391, "CURRENT_RSS": 28487680}
19:18:19.720895->{"CURRENT_PRECENT": 0.3456015678534391, "CURRENT_RSS": 28487680}
19:18:20.222081->{"CURRENT_PRECENT": 0.3456015678534391, "CURRENT_RSS": 28487680}
19:18:20.722975->{"CURRENT_PRECENT": 0.3456015678534391, "CURRENT_RSS": 28487680}
19:18:21.223813->{"CURRENT_PRECENT": 0.3456015678534391, "CURRENT_RSS": 28487680}
19:18:21.725314->{"CURRENT_PRECENT": 0.3456015678534391, "CURRENT_RSS": 28487680}
19:18:22.226746->{"CURRENT_PRECENT": 0.3456015678534391, "CURRENT_RSS": 28487680}
19:18:22.727802->{"CURRENT_PRECENT": 0.3456015678534391, "CURRENT_RSS": 28487680}
19:18:23.228854->{"CURRENT_PRECENT": 0.3456015678534391, "CURRENT_RSS": 28487680}
19:18:23.729970->{"CURRENT_PRECENT": 0.3456015678534391, "CURRENT_RSS": 28487680}
19:18:24.231415->{"CURRENT_PRECENT": 0.3456015678534391, "CURRENT_RSS": 28487680}
19:18:24.732757->{"CURRENT_PRECENT": 0.3456015678534391, "CURRENT_RSS": 28487680}
19:18:25.234004->{"CURRENT_PRECENT": 0.35544040472403304, "CURRENT_RSS": 29298688}
19:18:25.735924->{"CURRENT_PRECENT": 0.35544040472403304, "CURRENT_RSS": 29298688}
19:18:26.237210->{"CURRENT_PRECENT": 0.35544040472403304, "CURRENT_RSS": 29298688}
19:18:26.738703->{"CURRENT_PRECENT": 0.35544040472403304, "CURRENT_RSS": 29298688}
19:18:27.240182->{"CURRENT_PRECENT": 0.35544040472403304, "CURRENT_RSS": 29298688}
19:18:27.741518->{"CURRENT_PRECENT": 0.35544040472403304, "CURRENT_RSS": 29298688}
19:18:28.243052->{"CURRENT_PRECENT": 0.35544040472403304, "CURRENT_RSS": 29298688}
19:18:28.744484->{"CURRENT_PRECENT": 0.35544040472403304, "CURRENT_RSS": 29298688}
19:18:29.245938->{"CURRENT_PRECENT": 0.35544040472403304, "CURRENT_RSS": 29298688}
