21:39:44.554048->{"CURRENT_RSS": 23085056, "CURRENT_PRECENT": 0.2800587348162798}
21:39:45.054595->{"CURRENT_RSS": 23199744, "CURRENT_PRECENT": 0.2814500841020952}
21:39:45.555407->{"CURRENT_RSS": 23199744, "CURRENT_PRECENT": 0.2814500841020952}
21:39:46.056227->{"CURRENT_RSS": 23199744, "CURRENT_PRECENT": 0.2814500841020952}
21:39:46.556699->{"CURRENT_RSS": 23199744, "CURRENT_PRECENT": 0.2814500841020952}
21:39:47.057299->{"CURRENT_RSS": 25030656, "CURRENT_PRECENT": 0.3036619816292203}
21:39:47.558553->{"CURRENT_RSS": 25833472, "CURRENT_PRECENT": 0.3134014266299284}
21:39:48.060720->{"CURRENT_RSS": 26484736, "CURRENT_PRECENT": 0.3213023029315233}
21:39:48.561396->{"CURRENT_RSS": 27627520, "CURRENT_PRECENT": 0.3351661047437557}
21:39:49.061981->{"CURRENT_RSS": 27627520, "CURRENT_PRECENT": 0.3351661047437557}
21:39:49.562951->{"CURRENT_RSS": 27627520, "CURRENT_PRECENT": 0.3351661047437557}
21:39:50.063622->{"CURRENT_RSS": 27668480, "CURRENT_PRECENT": 0.3356630152029755}
21:39:50.564706->{"CURRENT_RSS": 27676672, "CURRENT_PRECENT": 0.3357623972948195}
21:39:51.065726->{"CURRENT_RSS": 27693056, "CURRENT_PRECENT": 0.33596116147850735}
21:39:51.566295->{"CURRENT_RSS": 27762688, "CURRENT_PRECENT": 0.3368059092591811}
21:39:52.066810->{"CURRENT_RSS": 28033024, "CURRENT_PRECENT": 0.3400855182900317}
21:39:52.567878->{"CURRENT_RSS": 28041216, "CURRENT_PRECENT": 0.34018490038187565}
21:39:53.069137->{"CURRENT_RSS": 28041216, "CURRENT_PRECENT": 0.34018490038187565}
21:39:53.570652->{"CURRENT_RSS": 28041216, "CURRENT_PRECENT": 0.34018490038187565}
21:39:54.072080->{"CURRENT_RSS": 28069888, "CURRENT_PRECENT": 0.34053273770332954}
21:39:54.573095->{"CURRENT_RSS": 28483584, "CURRENT_PRECENT": 0.34555153334144956}
21:39:55.074486->{"CURRENT_RSS": 28790784, "CURRENT_PRECENT": 0.34927836178559807}
21:39:55.575627->{"CURRENT_RSS": 28819456, "CURRENT_PRECENT": 0.3496261991070519}
21:39:56.076060->{"CURRENT_RSS": 28835840, "CURRENT_PRECENT": 0.3498249632907398}
21:39:56.577422->{"CURRENT_RSS": 28954624, "CURRENT_PRECENT": 0.3512660036224773}
21:39:57.077893->{"CURRENT_RSS": 28954624, "CURRENT_PRECENT": 0.3512660036224773}
21:39:57.579462->{"CURRENT_RSS": 28971008, "CURRENT_PRECENT": 0.35146476780616515}
21:39:58.081709->{"CURRENT_RSS": 28971008, "CURRENT_PRECENT": 0.35146476780616515}
21:39:58.583243->{"CURRENT_RSS": 28971008, "CURRENT_PRECENT": 0.35146476780616515}
21:39:59.084776->{"CURRENT_RSS": 28971008, "CURRENT_PRECENT": 0.35146476780616515}
21:39:59.586502->{"CURRENT_RSS": 29151232, "CURRENT_PRECENT": 0.3536511738267323}
21:40:00.088447->{"CURRENT_RSS": 29151232, "CURRENT_PRECENT": 0.3536511738267323}
21:40:00.590454->{"CURRENT_RSS": 29151232, "CURRENT_PRECENT": 0.3536511738267323}
21:40:01.092140->{"CURRENT_RSS": 29151232, "CURRENT_PRECENT": 0.3536511738267323}
21:40:01.594088->{"CURRENT_RSS": 29151232, "CURRENT_PRECENT": 0.3536511738267323}
21:40:02.095818->{"CURRENT_RSS": 29151232, "CURRENT_PRECENT": 0.3536511738267323}
21:40:02.597704->{"CURRENT_RSS": 29421568, "CURRENT_PRECENT": 0.35693078285758295}
21:40:03.099093->{"CURRENT_RSS": 29421568, "CURRENT_PRECENT": 0.35693078285758295}
21:40:03.600851->{"CURRENT_RSS": 29421568, "CURRENT_PRECENT": 0.35693078285758295}
21:40:04.102395->{"CURRENT_RSS": 29421568, "CURRENT_PRECENT": 0.35693078285758295}
