19:10:05.006862->{"CURRENT_PRECENT": 0.26664241741215733, "CURRENT_RSS": 21979136}
19:10:05.517909->{"CURRENT_PRECENT": 0.2885561904421166, "CURRENT_RSS": 23785472}
19:10:06.018247->{"CURRENT_PRECENT": 0.2897487767294613, "CURRENT_RSS": 23883776}
19:10:06.518655->{"CURRENT_PRECENT": 0.2935252999727196, "CURRENT_RSS": 24195072}
19:10:07.019592->{"CURRENT_PRECENT": 0.29784842526434424, "CURRENT_RSS": 24551424}
19:10:07.520867->{"CURRENT_PRECENT": 0.29784842526434424, "CURRENT_RSS": 24551424}
19:10:08.021233->{"CURRENT_PRECENT": 0.29784842526434424, "CURRENT_RSS": 24551424}
19:10:08.521638->{"CURRENT_PRECENT": 0.3114140942828904, "CURRENT_RSS": 25669632}
19:10:09.022298->{"CURRENT_PRECENT": 0.3114140942828904, "CURRENT_RSS": 25669632}
19:10:09.522596->{"CURRENT_PRECENT": 0.3117122408547266, "CURRENT_RSS": 25694208}
19:10:10.023635->{"CURRENT_PRECENT": 0.3119606963312567, "CURRENT_RSS": 25714688}
19:10:10.524697->{"CURRENT_PRECENT": 0.31290482714207135, "CURRENT_RSS": 25792512}
19:10:11.025251->{"CURRENT_PRECENT": 0.31290482714207135, "CURRENT_RSS": 25792512}
19:10:11.526001->{"CURRENT_PRECENT": 0.31290482714207135, "CURRENT_RSS": 25792512}
19:10:12.027149->{"CURRENT_PRECENT": 0.31290482714207135, "CURRENT_RSS": 25792512}
19:10:12.528102->{"CURRENT_PRECENT": 0.31290482714207135, "CURRENT_RSS": 25792512}
19:10:13.028962->{"CURRENT_PRECENT": 0.3130539004279894, "CURRENT_RSS": 25804800}
19:10:13.530785->{"CURRENT_PRECENT": 0.3130539004279894, "CURRENT_RSS": 25804800}
19:10:14.031622->{"CURRENT_PRECENT": 0.3161844394322693, "CURRENT_RSS": 26062848}
19:10:14.532005->{"CURRENT_PRECENT": 0.3161844394322693, "CURRENT_RSS": 26062848}
19:10:15.033906->{"CURRENT_PRECENT": 0.3161844394322693, "CURRENT_RSS": 26062848}
19:10:15.534930->{"CURRENT_PRECENT": 0.3194640517224673, "CURRENT_RSS": 26333184}
19:10:16.036745->{"CURRENT_PRECENT": 0.34286855761160745, "CURRENT_RSS": 28262400}
19:10:16.539073->{"CURRENT_PRECENT": 0.34629724318772354, "CURRENT_RSS": 28545024}
19:10:17.039924->{"CURRENT_PRECENT": 0.348682415762413, "CURRENT_RSS": 28741632}
19:10:17.541966->{"CURRENT_PRECENT": 0.348682415762413, "CURRENT_RSS": 28741632}
19:10:18.043794->{"CURRENT_PRECENT": 0.348682415762413, "CURRENT_RSS": 28741632}
19:10:18.545661->{"CURRENT_PRECENT": 0.3489308712389431, "CURRENT_RSS": 28762112}
19:10:19.047464->{"CURRENT_PRECENT": 0.3489308712389431, "CURRENT_RSS": 28762112}
19:10:19.548865->{"CURRENT_PRECENT": 0.3489308712389431, "CURRENT_RSS": 28762112}
19:10:20.049982->{"CURRENT_PRECENT": 0.3489308712389431, "CURRENT_RSS": 28762112}
19:10:20.550987->{"CURRENT_PRECENT": 0.3489308712389431, "CURRENT_RSS": 28762112}
19:10:21.051924->{"CURRENT_PRECENT": 0.3489308712389431, "CURRENT_RSS": 28762112}
19:10:21.552892->{"CURRENT_PRECENT": 0.35141542600424464, "CURRENT_RSS": 28966912}
19:10:22.053932->{"CURRENT_PRECENT": 0.35141542600424464, "CURRENT_RSS": 28966912}
19:10:22.555477->{"CURRENT_PRECENT": 0.35141542600424464, "CURRENT_RSS": 28966912}
19:10:23.056326->{"CURRENT_PRECENT": 0.35141542600424464, "CURRENT_RSS": 28966912}
19:10:23.557339->{"CURRENT_PRECENT": 0.3546950382944426, "CURRENT_RSS": 29237248}
19:10:24.057888->{"CURRENT_PRECENT": 0.3546950382944426, "CURRENT_RSS": 29237248}
19:10:24.558794->{"CURRENT_PRECENT": 0.3546950382944426, "CURRENT_RSS": 29237248}
19:10:25.059951->{"CURRENT_PRECENT": 0.3546950382944426, "CURRENT_RSS": 29237248}
19:10:25.561242->{"CURRENT_PRECENT": 0.3546950382944426, "CURRENT_RSS": 29237248}
19:10:26.063025->{"CURRENT_PRECENT": 0.3546950382944426, "CURRENT_RSS": 29237248}
19:10:26.564591->{"CURRENT_PRECENT": 0.3546950382944426, "CURRENT_RSS": 29237248}
19:10:27.065999->{"CURRENT_PRECENT": 0.3546950382944426, "CURRENT_RSS": 29237248}
19:10:27.567055->{"CURRENT_PRECENT": 0.3546950382944426, "CURRENT_RSS": 29237248}
19:10:28.068573->{"CURRENT_PRECENT": 0.3546950382944426, "CURRENT_RSS": 29237248}
19:10:28.569910->{"CURRENT_PRECENT": 0.3546950382944426, "CURRENT_RSS": 29237248}
19:10:29.070425->{"CURRENT_PRECENT": 0.3579746505846406, "CURRENT_RSS": 29507584}
19:10:29.572030->{"CURRENT_PRECENT": 0.3579746505846406, "CURRENT_RSS": 29507584}
19:10:30.073450->{"CURRENT_PRECENT": 0.3579746505846406, "CURRENT_RSS": 29507584}
19:10:30.574486->{"CURRENT_PRECENT": 0.3579746505846406, "CURRENT_RSS": 29507584}
19:10:31.075918->{"CURRENT_PRECENT": 0.3579746505846406, "CURRENT_RSS": 29507584}
19:10:31.576887->{"CURRENT_PRECENT": 0.3579746505846406, "CURRENT_RSS": 29507584}
19:10:32.077890->{"CURRENT_PRECENT": 0.3612542628748386, "CURRENT_RSS": 29777920}
19:10:32.578737->{"CURRENT_PRECENT": 0.3612542628748386, "CURRENT_RSS": 29777920}
19:10:33.079421->{"CURRENT_PRECENT": 0.3612542628748386, "CURRENT_RSS": 29777920}
19:10:33.580104->{"CURRENT_PRECENT": 0.3612542628748386, "CURRENT_RSS": 29777920}
19:10:34.081938->{"CURRENT_PRECENT": 0.3612542628748386, "CURRENT_RSS": 29777920}
19:10:34.583401->{"CURRENT_PRECENT": 0.3612542628748386, "CURRENT_RSS": 29777920}
19:10:35.084313->{"CURRENT_PRECENT": 0.3612542628748386, "CURRENT_RSS": 29777920}
19:10:35.585317->{"CURRENT_PRECENT": 0.3612542628748386, "CURRENT_RSS": 29777920}
19:10:36.086966->{"CURRENT_PRECENT": 0.3612542628748386, "CURRENT_RSS": 29777920}
19:10:36.588324->{"CURRENT_PRECENT": 0.3612542628748386, "CURRENT_RSS": 29777920}
19:10:37.089897->{"CURRENT_PRECENT": 0.3612542628748386, "CURRENT_RSS": 29777920}
19:10:37.591461->{"CURRENT_PRECENT": 0.3612542628748386, "CURRENT_RSS": 29777920}
19:10:38.092994->{"CURRENT_PRECENT": 0.3612542628748386, "CURRENT_RSS": 29777920}
19:10:38.594034->{"CURRENT_PRECENT": 0.3612542628748386, "CURRENT_RSS": 29777920}
19:10:39.095551->{"CURRENT_PRECENT": 0.3612542628748386, "CURRENT_RSS": 29777920}
19:10:39.596585->{"CURRENT_PRECENT": 0.3612542628748386, "CURRENT_RSS": 29777920}
19:10:40.097974->{"CURRENT_PRECENT": 0.3616517916372868, "CURRENT_RSS": 29810688}
19:10:40.599474->{"CURRENT_PRECENT": 0.3616517916372868, "CURRENT_RSS": 29810688}
19:10:41.100528->{"CURRENT_PRECENT": 0.3616517916372868, "CURRENT_RSS": 29810688}
19:10:41.602030->{"CURRENT_PRECENT": 0.3616517916372868, "CURRENT_RSS": 29810688}
19:10:42.104013->{"CURRENT_PRECENT": 0.3616517916372868, "CURRENT_RSS": 29810688}
19:10:42.604983->{"CURRENT_PRECENT": 0.3616517916372868, "CURRENT_RSS": 29810688}
19:10:43.105931->{"CURRENT_PRECENT": 0.3618008649232049, "CURRENT_RSS": 29822976}
19:10:43.606985->{"CURRENT_PRECENT": 0.3618008649232049, "CURRENT_RSS": 29822976}
19:10:44.108173->{"CURRENT_PRECENT": 0.3618008649232049, "CURRENT_RSS": 29822976}
19:10:44.608807->{"CURRENT_PRECENT": 0.3618008649232049, "CURRENT_RSS": 29822976}
19:10:45.109427->{"CURRENT_PRECENT": 0.36194993820912297, "CURRENT_RSS": 29835264}
19:10:45.609955->{"CURRENT_PRECENT": 0.36194993820912297, "CURRENT_RSS": 29835264}
19:10:46.110422->{"CURRENT_PRECENT": 0.36194993820912297, "CURRENT_RSS": 29835264}
19:10:46.610887->{"CURRENT_PRECENT": 0.36194993820912297, "CURRENT_RSS": 29835264}
19:10:47.112501->{"CURRENT_PRECENT": 0.36194993820912297, "CURRENT_RSS": 29835264}
19:10:47.613352->{"CURRENT_PRECENT": 0.36194993820912297, "CURRENT_RSS": 29835264}
19:10:48.114424->{"CURRENT_PRECENT": 0.36194993820912297, "CURRENT_RSS": 29835264}
19:10:48.615804->{"CURRENT_PRECENT": 0.36204932039973503, "CURRENT_RSS": 29843456}
19:10:49.116701->{"CURRENT_PRECENT": 0.36204932039973503, "CURRENT_RSS": 29843456}
19:10:49.617925->{"CURRENT_PRECENT": 0.36204932039973503, "CURRENT_RSS": 29843456}
19:10:50.119347->{"CURRENT_PRECENT": 0.36204932039973503, "CURRENT_RSS": 29843456}
19:10:50.620818->{"CURRENT_PRECENT": 0.36204932039973503, "CURRENT_RSS": 29843456}
19:10:51.121933->{"CURRENT_PRECENT": 0.36204932039973503, "CURRENT_RSS": 29843456}
19:10:51.623329->{"CURRENT_PRECENT": 0.36204932039973503, "CURRENT_RSS": 29843456}
19:10:52.124352->{"CURRENT_PRECENT": 0.36204932039973503, "CURRENT_RSS": 29843456}
19:10:52.625409->{"CURRENT_PRECENT": 0.36204932039973503, "CURRENT_RSS": 29843456}
19:10:53.126474->{"CURRENT_PRECENT": 0.36204932039973503, "CURRENT_RSS": 29843456}
19:10:53.628109->{"CURRENT_PRECENT": 0.36204932039973503, "CURRENT_RSS": 29843456}
19:10:54.129247->{"CURRENT_PRECENT": 0.36204932039973503, "CURRENT_RSS": 29843456}
19:10:54.630617->{"CURRENT_PRECENT": 0.36204932039973503, "CURRENT_RSS": 29843456}
19:10:55.132090->{"CURRENT_PRECENT": 0.36204932039973503, "CURRENT_RSS": 29843456}
19:10:55.633495->{"CURRENT_PRECENT": 0.36204932039973503, "CURRENT_RSS": 29843456}
19:10:56.134589->{"CURRENT_PRECENT": 0.36204932039973503, "CURRENT_RSS": 29843456}
19:10:56.635923->{"CURRENT_PRECENT": 0.36204932039973503, "CURRENT_RSS": 29843456}
19:10:57.137276->{"CURRENT_PRECENT": 0.36204932039973503, "CURRENT_RSS": 29843456}
19:10:57.638785->{"CURRENT_PRECENT": 0.36204932039973503, "CURRENT_RSS": 29843456}
19:10:58.140292->{"CURRENT_PRECENT": 0.36204932039973503, "CURRENT_RSS": 29843456}
19:10:58.641642->{"CURRENT_PRECENT": 0.36204932039973503, "CURRENT_RSS": 29843456}
19:10:59.142774->{"CURRENT_PRECENT": 0.36204932039973503, "CURRENT_RSS": 29843456}
19:10:59.643647->{"CURRENT_PRECENT": 0.36204932039973503, "CURRENT_RSS": 29843456}
19:11:00.144777->{"CURRENT_PRECENT": 0.36204932039973503, "CURRENT_RSS": 29843456}
19:11:00.645930->{"CURRENT_PRECENT": 0.36204932039973503, "CURRENT_RSS": 29843456}
19:11:01.147044->{"CURRENT_PRECENT": 0.36204932039973503, "CURRENT_RSS": 29843456}
19:11:01.648384->{"CURRENT_PRECENT": 0.36204932039973503, "CURRENT_RSS": 29843456}
19:11:02.149900->{"CURRENT_PRECENT": 0.36204932039973503, "CURRENT_RSS": 29843456}
19:11:02.651335->{"CURRENT_PRECENT": 0.36204932039973503, "CURRENT_RSS": 29843456}
19:11:03.152816->{"CURRENT_PRECENT": 0.36204932039973503, "CURRENT_RSS": 29843456}
19:11:03.653950->{"CURRENT_PRECENT": 0.36204932039973503, "CURRENT_RSS": 29843456}
19:11:04.155409->{"CURRENT_PRECENT": 0.36204932039973503, "CURRENT_RSS": 29843456}
19:11:04.656890->{"CURRENT_PRECENT": 0.36204932039973503, "CURRENT_RSS": 29843456}
