21:38:44.168371->{"CURRENT_RSS": 22704128, "CURRENT_PRECENT": 0.2754374675455356}
21:38:44.674883->{"CURRENT_RSS": 23105536, "CURRENT_PRECENT": 0.2803071900458897}
21:38:45.176084->{"CURRENT_RSS": 25120768, "CURRENT_PRECENT": 0.3047551846395039}
21:38:45.676809->{"CURRENT_RSS": 25493504, "CURRENT_PRECENT": 0.3092770698184041}
21:38:46.181857->{"CURRENT_RSS": 25493504, "CURRENT_PRECENT": 0.3092770698184041}
21:38:46.686307->{"CURRENT_RSS": 25829376, "CURRENT_PRECENT": 0.3133517355840065}
21:38:47.187159->{"CURRENT_RSS": 25829376, "CURRENT_PRECENT": 0.3133517355840065}
21:38:47.688044->{"CURRENT_RSS": 26087424, "CURRENT_PRECENT": 0.3164822714770912}
21:38:48.189870->{"CURRENT_RSS": 27234304, "CURRENT_PRECENT": 0.3303957643352456}
21:38:48.690359->{"CURRENT_RSS": 27435008, "CURRENT_PRECENT": 0.33283062558542265}
21:38:49.190844->{"CURRENT_RSS": 28372992, "CURRENT_PRECENT": 0.3442098751015561}
21:38:49.691527->{"CURRENT_RSS": 28913664, "CURRENT_PRECENT": 0.35076909316325744}
21:38:50.192139->{"CURRENT_RSS": 28975104, "CURRENT_PRECENT": 0.35151445885208715}
21:38:50.692841->{"CURRENT_RSS": 28999680, "CURRENT_PRECENT": 0.351812605127619}
21:38:51.193848->{"CURRENT_RSS": 28999680, "CURRENT_PRECENT": 0.351812605127619}
21:38:51.695727->{"CURRENT_RSS": 29011968, "CURRENT_PRECENT": 0.351961678265385}
21:38:52.196633->{"CURRENT_RSS": 29011968, "CURRENT_PRECENT": 0.351961678265385}
21:38:52.697986->{"CURRENT_RSS": 29011968, "CURRENT_PRECENT": 0.351961678265385}
21:38:53.200119->{"CURRENT_RSS": 29011968, "CURRENT_PRECENT": 0.351961678265385}
21:38:53.702822->{"CURRENT_RSS": 29048832, "CURRENT_PRECENT": 0.3524088976786828}
21:38:54.204273->{"CURRENT_RSS": 29048832, "CURRENT_PRECENT": 0.3524088976786828}
21:38:54.705241->{"CURRENT_RSS": 29102080, "CURRENT_PRECENT": 0.35305488127566853}
21:38:55.205950->{"CURRENT_RSS": 29102080, "CURRENT_PRECENT": 0.35305488127566853}
21:38:55.707248->{"CURRENT_RSS": 29454336, "CURRENT_PRECENT": 0.3573283112249588}
21:38:56.208342->{"CURRENT_RSS": 29577216, "CURRENT_PRECENT": 0.3588190426026182}
21:38:56.729184->{"CURRENT_RSS": 30699520, "CURRENT_PRECENT": 0.37243438918524074}
21:38:57.229880->{"CURRENT_RSS": 30945280, "CURRENT_PRECENT": 0.3754158519405596}
21:38:57.731060->{"CURRENT_RSS": 30998528, "CURRENT_PRECENT": 0.37606183553754535}
21:38:58.232400->{"CURRENT_RSS": 30998528, "CURRENT_PRECENT": 0.37606183553754535}
21:38:58.734397->{"CURRENT_RSS": 30998528, "CURRENT_PRECENT": 0.37606183553754535}
21:38:59.236464->{"CURRENT_RSS": 31232000, "CURRENT_PRECENT": 0.3788942251550982}
21:38:59.737937->{"CURRENT_RSS": 31232000, "CURRENT_PRECENT": 0.3788942251550982}
21:39:00.239806->{"CURRENT_RSS": 31232000, "CURRENT_PRECENT": 0.3788942251550982}
21:39:00.741279->{"CURRENT_RSS": 31232000, "CURRENT_PRECENT": 0.3788942251550982}
21:39:01.241917->{"CURRENT_RSS": 31232000, "CURRENT_PRECENT": 0.3788942251550982}
21:39:01.743379->{"CURRENT_RSS": 31232000, "CURRENT_PRECENT": 0.3788942251550982}
21:39:02.245533->{"CURRENT_RSS": 31232000, "CURRENT_PRECENT": 0.3788942251550982}
21:39:02.747169->{"CURRENT_RSS": 31232000, "CURRENT_PRECENT": 0.3788942251550982}
21:39:03.248294->{"CURRENT_RSS": 31232000, "CURRENT_PRECENT": 0.3788942251550982}
21:39:03.750430->{"CURRENT_RSS": 31232000, "CURRENT_PRECENT": 0.3788942251550982}
21:39:04.252105->{"CURRENT_RSS": 31232000, "CURRENT_PRECENT": 0.3788942251550982}
21:39:04.753778->{"CURRENT_RSS": 31232000, "CURRENT_PRECENT": 0.3788942251550982}
21:39:05.255142->{"CURRENT_RSS": 31232000, "CURRENT_PRECENT": 0.3788942251550982}
21:39:05.756932->{"CURRENT_RSS": 31232000, "CURRENT_PRECENT": 0.3788942251550982}
21:39:06.258413->{"CURRENT_RSS": 31502336, "CURRENT_PRECENT": 0.38217383418594886}
21:39:06.760068->{"CURRENT_RSS": 31502336, "CURRENT_PRECENT": 0.38217383418594886}
21:39:07.261714->{"CURRENT_RSS": 31502336, "CURRENT_PRECENT": 0.38217383418594886}
21:39:07.763071->{"CURRENT_RSS": 31502336, "CURRENT_PRECENT": 0.38217383418594886}
21:39:08.264775->{"CURRENT_RSS": 31502336, "CURRENT_PRECENT": 0.38217383418594886}
21:39:08.766500->{"CURRENT_RSS": 31502336, "CURRENT_PRECENT": 0.38217383418594886}
21:39:09.268143->{"CURRENT_RSS": 31502336, "CURRENT_PRECENT": 0.38217383418594886}
21:39:09.770351->{"CURRENT_RSS": 31502336, "CURRENT_PRECENT": 0.38217383418594886}
21:39:10.272945->{"CURRENT_RSS": 31502336, "CURRENT_PRECENT": 0.38217383418594886}
21:39:10.774646->{"CURRENT_RSS": 31502336, "CURRENT_PRECENT": 0.38217383418594886}
21:39:11.276731->{"CURRENT_RSS": 31502336, "CURRENT_PRECENT": 0.38217383418594886}
21:39:11.778925->{"CURRENT_RSS": 31502336, "CURRENT_PRECENT": 0.38217383418594886}
21:39:12.280168->{"CURRENT_RSS": 31502336, "CURRENT_PRECENT": 0.38217383418594886}
21:39:12.781851->{"CURRENT_RSS": 31502336, "CURRENT_PRECENT": 0.38217383418594886}
