21:37:11.584720->{"CURRENT_RSS": 22695936, "CURRENT_PRECENT": 0.27533808545369165}
21:37:12.085883->{"CURRENT_RSS": 23928832, "CURRENT_PRECENT": 0.2902950902762077}
21:37:12.586294->{"CURRENT_RSS": 25464832, "CURRENT_PRECENT": 0.3089292324969502}
21:37:13.086837->{"CURRENT_RSS": 25784320, "CURRENT_PRECENT": 0.3128051340788647}
21:37:13.587589->{"CURRENT_RSS": 25784320, "CURRENT_PRECENT": 0.3128051340788647}
21:37:14.097870->{"CURRENT_RSS": 26079232, "CURRENT_PRECENT": 0.3163828893852472}
21:37:14.598492->{"CURRENT_RSS": 27222016, "CURRENT_PRECENT": 0.3302466911974797}
21:37:15.099141->{"CURRENT_RSS": 27222016, "CURRENT_PRECENT": 0.3302466911974797}
21:37:15.599757->{"CURRENT_RSS": 27234304, "CURRENT_PRECENT": 0.3303957643352456}
21:37:16.100667->{"CURRENT_RSS": 27246592, "CURRENT_PRECENT": 0.33054483747301155}
21:37:16.601870->{"CURRENT_RSS": 27267072, "CURRENT_PRECENT": 0.3307932927026214}
21:37:17.102570->{"CURRENT_RSS": 27267072, "CURRENT_PRECENT": 0.3307932927026214}
21:37:17.603746->{"CURRENT_RSS": 27332608, "CURRENT_PRECENT": 0.3315883494373731}
21:37:18.104649->{"CURRENT_RSS": 27365376, "CURRENT_PRECENT": 0.331985877804749}
21:37:18.605896->{"CURRENT_RSS": 28164096, "CURRENT_PRECENT": 0.3416756317595351}
21:37:19.107252->{"CURRENT_RSS": 28164096, "CURRENT_PRECENT": 0.3416756317595351}
21:37:19.608645->{"CURRENT_RSS": 28176384, "CURRENT_PRECENT": 0.34182470489730105}
21:37:20.109073->{"CURRENT_RSS": 28176384, "CURRENT_PRECENT": 0.34182470489730105}
21:37:20.610483->{"CURRENT_RSS": 28192768, "CURRENT_PRECENT": 0.34202346908098896}
21:37:21.112136->{"CURRENT_RSS": 28192768, "CURRENT_PRECENT": 0.34202346908098896}
21:37:21.613541->{"CURRENT_RSS": 28192768, "CURRENT_PRECENT": 0.34202346908098896}
21:37:22.114082->{"CURRENT_RSS": 28192768, "CURRENT_PRECENT": 0.34202346908098896}
21:37:22.615233->{"CURRENT_RSS": 28282880, "CURRENT_PRECENT": 0.3431166720912725}
21:37:23.116368->{"CURRENT_RSS": 28626944, "CURRENT_PRECENT": 0.34729071994871885}
21:37:23.618717->{"CURRENT_RSS": 28692480, "CURRENT_PRECENT": 0.3480857766834705}
21:37:24.119845->{"CURRENT_RSS": 28704768, "CURRENT_PRECENT": 0.3482348498212365}
21:37:24.621470->{"CURRENT_RSS": 29847552, "CURRENT_PRECENT": 0.3620986516334689}
21:37:25.122983->{"CURRENT_RSS": 30056448, "CURRENT_PRECENT": 0.3646328949754899}
21:37:25.623321->{"CURRENT_RSS": 30081024, "CURRENT_PRECENT": 0.36493104125102177}
21:37:26.124382->{"CURRENT_RSS": 30081024, "CURRENT_PRECENT": 0.36493104125102177}
21:37:26.625204->{"CURRENT_RSS": 30777344, "CURRENT_PRECENT": 0.3733785190577584}
21:37:27.126499->{"CURRENT_RSS": 31059968, "CURRENT_PRECENT": 0.376807201226375}
21:37:27.628398->{"CURRENT_RSS": 31350784, "CURRENT_PRECENT": 0.3803352654868356}
21:37:28.130037->{"CURRENT_RSS": 31350784, "CURRENT_PRECENT": 0.3803352654868356}
21:37:28.631260->{"CURRENT_RSS": 31621120, "CURRENT_PRECENT": 0.3836148745176863}
21:37:29.132728->{"CURRENT_RSS": 31621120, "CURRENT_PRECENT": 0.3836148745176863}
21:37:29.634522->{"CURRENT_RSS": 31891456, "CURRENT_PRECENT": 0.38689448354853695}
21:37:30.136309->{"CURRENT_RSS": 31891456, "CURRENT_PRECENT": 0.38689448354853695}
21:37:30.638113->{"CURRENT_RSS": 31891456, "CURRENT_PRECENT": 0.38689448354853695}
21:37:31.139374->{"CURRENT_RSS": 31891456, "CURRENT_PRECENT": 0.38689448354853695}
