21:35:59.386246->{"CURRENT_RSS": 22048768, "CURRENT_PRECENT": 0.2674869001980188}
21:35:59.888337->{"CURRENT_RSS": 23654400, "CURRENT_PRECENT": 0.286965790199435}
21:36:00.405858->{"CURRENT_RSS": 23756800, "CURRENT_PRECENT": 0.2882080663474845}
21:36:00.906231->{"CURRENT_RSS": 24190976, "CURRENT_PRECENT": 0.2934753172152144}
21:36:01.406681->{"CURRENT_RSS": 24190976, "CURRENT_PRECENT": 0.2934753172152144}
21:36:01.907302->{"CURRENT_RSS": 24580096, "CURRENT_PRECENT": 0.2981959665778025}
21:36:02.413852->{"CURRENT_RSS": 24580096, "CURRENT_PRECENT": 0.2981959665778025}
21:36:02.914947->{"CURRENT_RSS": 25935872, "CURRENT_PRECENT": 0.31464370277797793}
21:36:03.415331->{"CURRENT_RSS": 25935872, "CURRENT_PRECENT": 0.31464370277797793}
21:36:03.915747->{"CURRENT_RSS": 25948160, "CURRENT_PRECENT": 0.3147927759157439}
21:36:04.416498->{"CURRENT_RSS": 25948160, "CURRENT_PRECENT": 0.3147927759157439}
21:36:04.916958->{"CURRENT_RSS": 25948160, "CURRENT_PRECENT": 0.3147927759157439}
21:36:05.417863->{"CURRENT_RSS": 25976832, "CURRENT_PRECENT": 0.3151406132371977}
21:36:05.918431->{"CURRENT_RSS": 25997312, "CURRENT_PRECENT": 0.3153890684668076}
21:36:06.418968->{"CURRENT_RSS": 26001408, "CURRENT_PRECENT": 0.3154387595127296}
21:36:06.919552->{"CURRENT_RSS": 26001408, "CURRENT_PRECENT": 0.3154387595127296}
21:36:07.420690->{"CURRENT_RSS": 26013696, "CURRENT_PRECENT": 0.31558783265049556}
21:36:07.921440->{"CURRENT_RSS": 26013696, "CURRENT_PRECENT": 0.31558783265049556}
21:36:08.422334->{"CURRENT_RSS": 26013696, "CURRENT_PRECENT": 0.31558783265049556}
21:36:08.923481->{"CURRENT_RSS": 26013696, "CURRENT_PRECENT": 0.31558783265049556}
21:36:09.424644->{"CURRENT_RSS": 26013696, "CURRENT_PRECENT": 0.31558783265049556}
21:36:09.925804->{"CURRENT_RSS": 26030080, "CURRENT_PRECENT": 0.3157865968341835}
21:36:10.427448->{"CURRENT_RSS": 26042368, "CURRENT_PRECENT": 0.3159356699719494}
21:36:10.928407->{"CURRENT_RSS": 28012544, "CURRENT_PRECENT": 0.33983706306042183}
21:36:11.429974->{"CURRENT_RSS": 28381184, "CURRENT_PRECENT": 0.3443092571934}
21:36:11.931382->{"CURRENT_RSS": 29102080, "CURRENT_PRECENT": 0.35305488127566853}
21:36:12.432837->{"CURRENT_RSS": 29503488, "CURRENT_PRECENT": 0.3579246037760226}
21:36:12.933751->{"CURRENT_RSS": 30830592, "CURRENT_PRECENT": 0.37402450265474413}
21:36:13.435297->{"CURRENT_RSS": 31154176, "CURRENT_PRECENT": 0.37795009528258056}
21:36:13.936698->{"CURRENT_RSS": 31268864, "CURRENT_PRECENT": 0.37934144456839597}
21:36:14.438464->{"CURRENT_RSS": 31272960, "CURRENT_PRECENT": 0.379391135614318}
21:36:14.940552->{"CURRENT_RSS": 31272960, "CURRENT_PRECENT": 0.379391135614318}
21:36:15.443201->{"CURRENT_RSS": 31272960, "CURRENT_PRECENT": 0.379391135614318}
21:36:15.945927->{"CURRENT_RSS": 31272960, "CURRENT_PRECENT": 0.379391135614318}
21:36:16.448739->{"CURRENT_RSS": 31338496, "CURRENT_PRECENT": 0.3801861923490697}
21:36:16.951180->{"CURRENT_RSS": 31338496, "CURRENT_PRECENT": 0.3801861923490697}
21:36:17.454079->{"CURRENT_RSS": 31338496, "CURRENT_PRECENT": 0.3801861923490697}
21:36:17.956335->{"CURRENT_RSS": 31338496, "CURRENT_PRECENT": 0.3801861923490697}
21:36:18.458259->{"CURRENT_RSS": 31604736, "CURRENT_PRECENT": 0.38341611033399836}
21:36:18.961047->{"CURRENT_RSS": 31604736, "CURRENT_PRECENT": 0.38341611033399836}
21:36:19.462490->{"CURRENT_RSS": 31604736, "CURRENT_PRECENT": 0.38341611033399836}
21:36:19.963735->{"CURRENT_RSS": 31604736, "CURRENT_PRECENT": 0.38341611033399836}
21:36:20.465271->{"CURRENT_RSS": 31604736, "CURRENT_PRECENT": 0.38341611033399836}
