Test1: Tree creation (10.1.1.100,224.12.12.12)
Expected: all routers should consider eth0 as their UpstreamInterface
About to start TCP server...
tests                                              DEBUG    2020-06-16 21:39:43,393                                              R5 ifconfig eth1 up
tests                                              DEBUG    2020-06-16 21:39:43,403                                              R5 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:39:43,397                                              R4 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:39:43,403                                              R5 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:39:43,403                                              R5 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:39:43,403                                              R5 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:39:43,403                                              R5 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:39:43,403                                              R5 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:39:43,403                                              R5 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:39:43,403                                              R5 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:39:43,528                                              R1 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:39:43,712                                              R3 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:39:43,728                                              R6 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:39:43,875                                              R7 vtysh -c "configure terminal" -c "interface eth2" -c "ip ospf cost 10"
tests                                              DEBUG    2020-06-16 21:39:43,889                                              R2 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:39:43,893                                              R5 python3 Run.py -t R5 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:43,893                                              R5 python3 Run.py -t R5 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:43,893                                              R5 python3 Run.py -t R5 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:43,893                                              R5 python3 Run.py -t R5 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:43,893                                              R5 python3 Run.py -t R5 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:43,893                                              R5 python3 Run.py -t R5 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:43,893                                              R5 python3 Run.py -t R5 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:43,893                                              R5 python3 Run.py -t R5 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:43,909                                              R1 python3 Run.py -t R1 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:43,909                                              R1 python3 Run.py -t R1 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:43,909                                              R1 python3 Run.py -t R1 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:43,909                                              R1 python3 Run.py -t R1 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:43,909                                              R1 python3 Run.py -t R1 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:43,909                                              R1 python3 Run.py -t R1 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:43,909                                              R1 python3 Run.py -t R1 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:43,911                                              R7 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:39:43,911                                              R7 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:39:43,909                                              R1 python3 Run.py -t R1 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:43,970                                              R4 python3 Run.py -t R4 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:43,970                                              R4 python3 Run.py -t R4 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:43,970                                              R4 python3 Run.py -t R4 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:43,970                                              R4 python3 Run.py -t R4 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:43,970                                              R4 python3 Run.py -t R4 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:43,970                                              R4 python3 Run.py -t R4 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:43,970                                              R4 python3 Run.py -t R4 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:43,970                                              R4 python3 Run.py -t R4 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:44,434                                              R3 python3 Run.py -t R3 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:44,434                                              R3 python3 Run.py -t R3 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:44,434                                              R3 python3 Run.py -t R3 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:44,434                                              R3 python3 Run.py -t R3 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:44,434                                              R3 python3 Run.py -t R3 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:44,434                                              R3 python3 Run.py -t R3 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:44,434                                              R3 python3 Run.py -t R3 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:44,434                                              R3 python3 Run.py -t R3 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:44,482                                              R1 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:39:44,482                                              R1 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:39:44,482                                              R1 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:39:44,482                                              R1 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:39:44,482                                              R1 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:39:44,482                                              R1 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:39:44,482                                              R1 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:39:44,482                                              R1 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:39:44,518                                              R6 python3 Run.py -t R6 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:44,518                                              R6 python3 Run.py -t R6 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:44,518                                              R6 python3 Run.py -t R6 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:44,530                                              R4 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:39:44,530                                              R4 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:39:44,530                                              R4 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:39:44,530                                              R4 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:39:44,530                                              R4 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:39:44,530                                              R4 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:39:44,530                                              R4 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:39:44,530                                              R4 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:39:44,518                                              R6 python3 Run.py -t R6 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:44,518                                              R6 python3 Run.py -t R6 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:44,518                                              R6 python3 Run.py -t R6 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:44,558                                              R2 python3 Run.py -t R2 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:44,558                                              R2 python3 Run.py -t R2 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:44,558                                              R2 python3 Run.py -t R2 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:44,558                                              R2 python3 Run.py -t R2 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:44,558                                              R2 python3 Run.py -t R2 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:44,558                                              R2 python3 Run.py -t R2 172.16.1.100
tests                                              DEBUG    2020-06-16 21:39:44,568                                              R5 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:39:44,568                                              R5 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:39:44,568                                              R5 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:39:44,568                                              R5 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:39:44,568                                              R5 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:39:44,568                                              R5 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:39:44,568                                              R5 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:39:44,568                                              R5 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:39:44,877                                              R3 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:39:44,877                                              R3 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:39:44,877                                              R3 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:39:44,877                                              R3 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:39:44,877                                              R3 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:39:44,877                                              R3 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:39:44,877                                              R3 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:39:44,877                                              R3 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:39:44,891                                              R1 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:39:44,891                                              R1 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:39:44,891                                              R1 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:39:44,891                                              R1 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:39:44,891                                              R1 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:39:44,891                                              R1 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:39:44,891                                              R1 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:39:44,891                                              R1 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:39:43,911                                              R7 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:39:44,913                                              R4 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:39:44,913                                              R4 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:39:44,913                                              R4 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:39:44,913                                              R4 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:39:44,913                                              R4 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:39:44,913                                              R4 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:39:44,913                                              R4 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:39:44,913                                              R4 python3 Run.py -aiigmp eth0
