Test1: Tree creation (10.1.1.100,224.12.12.12)
Expected: all routers should consider eth0 as their UpstreamInterface
About to start TCP server...
tests                                              DEBUG    2020-06-16 21:40:43,626                                              R1 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:43,865                                              R1 python3 Run.py -t R1 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:43,865                                              R1 python3 Run.py -t R1 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:43,865                                              R1 python3 Run.py -t R1 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:43,865                                              R1 python3 Run.py -t R1 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:43,865                                              R1 python3 Run.py -t R1 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:43,865                                              R1 python3 Run.py -t R1 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:43,865                                              R1 python3 Run.py -t R1 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:43,865                                              R1 python3 Run.py -t R1 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:43,865                                              R1 python3 Run.py -t R1 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:43,865                                              R1 python3 Run.py -t R1 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:44,088                                              R1 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:44,088                                              R1 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:44,088                                              R1 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:44,088                                              R1 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:44,088                                              R1 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:44,088                                              R1 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:44,088                                              R1 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:44,088                                              R1 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:44,088                                              R1 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:44,088                                              R1 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:44,171                                              R3 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:44,215                                              R4 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:44,299                                              R2 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:44,310                                              R5 ifconfig eth1 up
tests                                              DEBUG    2020-06-16 21:40:44,315                                              R5 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:44,315                                              R5 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:44,315                                              R5 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:44,315                                              R5 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:44,315                                              R5 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:44,315                                              R5 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:44,315                                              R5 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:44,315                                              R5 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:44,315                                              R5 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:44,315                                              R5 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:44,331                                              R6 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:44,334                                              R7 vtysh -c "configure terminal" -c "interface eth2" -c "ip ospf cost 10"
tests                                              DEBUG    2020-06-16 21:40:44,386                                              R7 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:44,398                                              R1 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:44,398                                              R1 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:44,398                                              R1 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:44,398                                              R1 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:44,398                                              R1 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:44,398                                              R1 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:44,398                                              R1 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:44,398                                              R1 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:44,398                                              R1 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:44,398                                              R1 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:44,386                                              R7 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:44,386                                              R7 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:44,386                                              R7 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:44,386                                              R7 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:44,386                                              R7 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:44,706                                              R3 python3 Run.py -t R3 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:44,706                                              R3 python3 Run.py -t R3 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:44,706                                              R3 python3 Run.py -t R3 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:44,706                                              R3 python3 Run.py -t R3 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:44,706                                              R3 python3 Run.py -t R3 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:44,706                                              R3 python3 Run.py -t R3 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:44,706                                              R3 python3 Run.py -t R3 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:44,706                                              R3 python3 Run.py -t R3 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:44,706                                              R3 python3 Run.py -t R3 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:44,706                                              R3 python3 Run.py -t R3 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:44,921                                              R4 python3 Run.py -t R4 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:44,921                                              R4 python3 Run.py -t R4 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:44,921                                              R4 python3 Run.py -t R4 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:44,921                                              R4 python3 Run.py -t R4 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:44,921                                              R4 python3 Run.py -t R4 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:44,921                                              R4 python3 Run.py -t R4 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:44,921                                              R4 python3 Run.py -t R4 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:44,921                                              R4 python3 Run.py -t R4 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:44,921                                              R4 python3 Run.py -t R4 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:44,921                                              R4 python3 Run.py -t R4 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:44,970                                              R6 python3 Run.py -t R6 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:44,970                                              R6 python3 Run.py -t R6 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:44,970                                              R6 python3 Run.py -t R6 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:44,970                                              R6 python3 Run.py -t R6 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:44,970                                              R6 python3 Run.py -t R6 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:44,970                                              R6 python3 Run.py -t R6 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:44,970                                              R6 python3 Run.py -t R6 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:44,970                                              R6 python3 Run.py -t R6 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:44,970                                              R6 python3 Run.py -t R6 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:44,970                                              R6 python3 Run.py -t R6 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:44,984                                              R5 python3 Run.py -t R5 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:44,984                                              R5 python3 Run.py -t R5 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:44,984                                              R5 python3 Run.py -t R5 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:44,984                                              R5 python3 Run.py -t R5 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:44,984                                              R5 python3 Run.py -t R5 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:44,984                                              R5 python3 Run.py -t R5 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:44,984                                              R5 python3 Run.py -t R5 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:44,984                                              R5 python3 Run.py -t R5 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:44,984                                              R5 python3 Run.py -t R5 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:44,984                                              R5 python3 Run.py -t R5 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:45,059                                              R2 python3 Run.py -t R2 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:45,059                                              R2 python3 Run.py -t R2 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:45,059                                              R2 python3 Run.py -t R2 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:45,059                                              R2 python3 Run.py -t R2 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:45,059                                              R2 python3 Run.py -t R2 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:45,059                                              R2 python3 Run.py -t R2 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:45,266                                              R1 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:45,266                                              R1 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:45,266                                              R1 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:45,266                                              R1 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:45,266                                              R1 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:45,266                                              R1 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:45,266                                              R1 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:45,266                                              R1 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:45,266                                              R1 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:45,266                                              R1 python3 Run.py -ai eth1
