Test1: Formation of (S,G) Broadcast Tree
Having Client0 and Client1 interested
About to start TCP server...
tests                                              DEBUG    2020-06-17 17:27:53,608                                              R5 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-17 17:27:53,617                                              R6 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-17 17:27:53,617                                              R6 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-17 17:27:53,617                                              R6 python3 Run.py -ai eth0
pim.KernelInterface                                DEBUG    2020-06-17 17:27:53,615                                              R2 Create virtual interface: eth0 -> 0
tests                                              DEBUG    2020-06-17 17:27:53,677                                              R2 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-17 17:27:53,677                                              R2 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-17 17:27:53,677                                              R2 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-17 17:27:53,733                                              R4 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-17 17:27:53,733                                              R4 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-17 17:27:53,733                                              R4 python3 Run.py -aiigmp eth0
pim.KernelInterface                                DEBUG    2020-06-17 17:27:53,873                                              R3 Create virtual interface: eth0 -> 0
pim.KernelInterface                                DEBUG    2020-06-17 17:27:53,928                                              R1 Create virtual interface: eth0 -> 0
tests                                              DEBUG    2020-06-17 17:27:53,996                                              R3 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-17 17:27:53,996                                              R3 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-17 17:27:53,996                                              R3 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-17 17:27:54,085                                              R1 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-17 17:27:54,085                                              R1 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-17 17:27:54,085                                              R1 python3 Run.py -aiigmp eth0
pim.KernelInterface                                DEBUG    2020-06-17 17:27:54,139                                              R7 Create virtual interface: eth0 -> 0
pim.KernelInterface                                DEBUG    2020-06-17 17:27:54,188                                              R6 Create virtual interface: eth0 -> 0
tests                                              DEBUG    2020-06-17 17:27:54,205                                              R7 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-17 17:27:54,205                                              R7 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-17 17:27:54,205                                              R7 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-17 17:27:54,233                                              R2 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-17 17:27:54,233                                              R2 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-17 17:27:54,233                                              R2 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-17 17:27:54,283                                              R4 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-17 17:27:54,283                                              R4 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-17 17:27:54,283                                              R4 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-17 17:27:54,296                                              R6 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-17 17:27:54,296                                              R6 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-17 17:27:54,296                                              R6 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-17 17:27:54,353                                              R5 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-17 17:27:54,353                                              R5 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-17 17:27:54,353                                              R5 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-17 17:27:54,643                                              R1 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-17 17:27:54,643                                              R1 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-17 17:27:54,643                                              R1 python3 Run.py -ai eth1
