21:37:11.526228->{"CURRENT_RSS": 22839296, "CURRENT_PRECENT": 0.27707727206096094}
21:37:12.026624->{"CURRENT_RSS": 22966272, "CURRENT_PRECENT": 0.2786176944845424}
21:37:12.527225->{"CURRENT_RSS": 22966272, "CURRENT_PRECENT": 0.2786176944845424}
21:37:13.027902->{"CURRENT_RSS": 23543808, "CURRENT_PRECENT": 0.28562413195954156}
21:37:13.529097->{"CURRENT_RSS": 23805952, "CURRENT_PRECENT": 0.2888043588985483}
21:37:14.029870->{"CURRENT_RSS": 23805952, "CURRENT_PRECENT": 0.2888043588985483}
21:37:14.530575->{"CURRENT_RSS": 23805952, "CURRENT_PRECENT": 0.2888043588985483}
21:37:15.031149->{"CURRENT_RSS": 23805952, "CURRENT_PRECENT": 0.2888043588985483}
21:37:15.531715->{"CURRENT_RSS": 24150016, "CURRENT_PRECENT": 0.29297840675599457}
21:37:16.032233->{"CURRENT_RSS": 24150016, "CURRENT_PRECENT": 0.29297840675599457}
21:37:16.533876->{"CURRENT_RSS": 24408064, "CURRENT_PRECENT": 0.29610894264907933}
21:37:17.034597->{"CURRENT_RSS": 28090368, "CURRENT_PRECENT": 0.34078119293293946}
21:37:17.535505->{"CURRENT_RSS": 28090368, "CURRENT_PRECENT": 0.34078119293293946}
21:37:18.036316->{"CURRENT_RSS": 28090368, "CURRENT_PRECENT": 0.34078119293293946}
21:37:18.537554->{"CURRENT_RSS": 28360704, "CURRENT_PRECENT": 0.34406080196379013}
21:37:19.039076->{"CURRENT_RSS": 28409856, "CURRENT_PRECENT": 0.3446570945148539}
21:37:19.540054->{"CURRENT_RSS": 28409856, "CURRENT_PRECENT": 0.3446570945148539}
21:37:20.040907->{"CURRENT_RSS": 28409856, "CURRENT_PRECENT": 0.3446570945148539}
21:37:20.541961->{"CURRENT_RSS": 28409856, "CURRENT_PRECENT": 0.3446570945148539}
21:37:21.042488->{"CURRENT_RSS": 28758016, "CURRENT_PRECENT": 0.34888083341822224}
21:37:21.543414->{"CURRENT_RSS": 28991488, "CURRENT_PRECENT": 0.35171322303577507}
21:37:22.044867->{"CURRENT_RSS": 29028352, "CURRENT_PRECENT": 0.3521604424490729}
21:37:22.545911->{"CURRENT_RSS": 29028352, "CURRENT_PRECENT": 0.3521604424490729}
21:37:23.046634->{"CURRENT_RSS": 29069312, "CURRENT_PRECENT": 0.3526573529082927}
21:37:23.548079->{"CURRENT_RSS": 29073408, "CURRENT_PRECENT": 0.3527070439542147}
21:37:24.049545->{"CURRENT_RSS": 29073408, "CURRENT_PRECENT": 0.3527070439542147}
21:37:24.551111->{"CURRENT_RSS": 29089792, "CURRENT_PRECENT": 0.35290580813790257}
21:37:25.052369->{"CURRENT_RSS": 29089792, "CURRENT_PRECENT": 0.35290580813790257}
21:37:25.553131->{"CURRENT_RSS": 29089792, "CURRENT_PRECENT": 0.35290580813790257}
21:37:26.054291->{"CURRENT_RSS": 29089792, "CURRENT_PRECENT": 0.35290580813790257}
21:37:26.555209->{"CURRENT_RSS": 29151232, "CURRENT_PRECENT": 0.3536511738267323}
21:37:27.056881->{"CURRENT_RSS": 29171712, "CURRENT_PRECENT": 0.3538996290563422}
21:37:27.558013->{"CURRENT_RSS": 29171712, "CURRENT_PRECENT": 0.3538996290563422}
21:37:28.059956->{"CURRENT_RSS": 29171712, "CURRENT_PRECENT": 0.3538996290563422}
21:37:28.562246->{"CURRENT_RSS": 29597696, "CURRENT_PRECENT": 0.35906749783222813}
21:37:29.063671->{"CURRENT_RSS": 29605888, "CURRENT_PRECENT": 0.3591668799240721}
21:37:29.565505->{"CURRENT_RSS": 29605888, "CURRENT_PRECENT": 0.3591668799240721}
21:37:30.066995->{"CURRENT_RSS": 29605888, "CURRENT_PRECENT": 0.3591668799240721}
21:37:30.568763->{"CURRENT_RSS": 29605888, "CURRENT_PRECENT": 0.3591668799240721}
21:37:31.070499->{"CURRENT_RSS": 29605888, "CURRENT_PRECENT": 0.3591668799240721}
21:37:31.571725->{"CURRENT_RSS": 29605888, "CURRENT_PRECENT": 0.3591668799240721}
21:37:32.073355->{"CURRENT_RSS": 29876224, "CURRENT_PRECENT": 0.36244648895492276}
21:37:32.574613->{"CURRENT_RSS": 29876224, "CURRENT_PRECENT": 0.36244648895492276}
21:37:33.076174->{"CURRENT_RSS": 29876224, "CURRENT_PRECENT": 0.36244648895492276}
21:37:33.577898->{"CURRENT_RSS": 29876224, "CURRENT_PRECENT": 0.36244648895492276}
21:37:34.079449->{"CURRENT_RSS": 29876224, "CURRENT_PRECENT": 0.36244648895492276}
21:37:34.580703->{"CURRENT_RSS": 29876224, "CURRENT_PRECENT": 0.36244648895492276}
21:37:35.082443->{"CURRENT_RSS": 29876224, "CURRENT_PRECENT": 0.36244648895492276}
21:37:35.584083->{"CURRENT_RSS": 29876224, "CURRENT_PRECENT": 0.36244648895492276}
21:37:36.085289->{"CURRENT_RSS": 29876224, "CURRENT_PRECENT": 0.36244648895492276}
21:37:36.586456->{"CURRENT_RSS": 29876224, "CURRENT_PRECENT": 0.36244648895492276}
21:37:37.087634->{"CURRENT_RSS": 29876224, "CURRENT_PRECENT": 0.36244648895492276}
21:37:37.588791->{"CURRENT_RSS": 29876224, "CURRENT_PRECENT": 0.36244648895492276}
21:37:38.089848->{"CURRENT_RSS": 29876224, "CURRENT_PRECENT": 0.36244648895492276}
21:37:38.591166->{"CURRENT_RSS": 29876224, "CURRENT_PRECENT": 0.36244648895492276}
21:37:39.092320->{"CURRENT_RSS": 29876224, "CURRENT_PRECENT": 0.36244648895492276}
21:37:39.593165->{"CURRENT_RSS": 29876224, "CURRENT_PRECENT": 0.36244648895492276}
21:37:40.094480->{"CURRENT_RSS": 29876224, "CURRENT_PRECENT": 0.36244648895492276}
21:37:40.596264->{"CURRENT_RSS": 29876224, "CURRENT_PRECENT": 0.36244648895492276}
21:37:41.097983->{"CURRENT_RSS": 29876224, "CURRENT_PRECENT": 0.36244648895492276}
21:37:41.599401->{"CURRENT_RSS": 29876224, "CURRENT_PRECENT": 0.36244648895492276}
21:37:42.100545->{"CURRENT_RSS": 29876224, "CURRENT_PRECENT": 0.36244648895492276}
