19:14:03.645769->{"CURRENT_PRECENT": 0.2792142645245829, "CURRENT_RSS": 22994944}
19:14:04.146586->{"CURRENT_PRECENT": 0.2808043795743759, "CURRENT_RSS": 23146496}
19:14:04.647436->{"CURRENT_PRECENT": 0.2808043795743759, "CURRENT_RSS": 23146496}
19:14:05.148115->{"CURRENT_PRECENT": 0.2864194733439573, "CURRENT_RSS": 23609344}
19:14:05.648702->{"CURRENT_PRECENT": 0.29079228973088794, "CURRENT_RSS": 23969792}
19:14:06.149437->{"CURRENT_PRECENT": 0.29079228973088794, "CURRENT_RSS": 23969792}
19:14:06.650061->{"CURRENT_PRECENT": 0.29079228973088794, "CURRENT_RSS": 23969792}
19:14:07.150826->{"CURRENT_PRECENT": 0.29079228973088794, "CURRENT_RSS": 23969792}
19:14:07.651467->{"CURRENT_PRECENT": 0.3077866443255502, "CURRENT_RSS": 25370624}
19:14:08.152202->{"CURRENT_PRECENT": 0.3077866443255502, "CURRENT_RSS": 25370624}
19:14:08.653266->{"CURRENT_PRECENT": 0.3077866443255502, "CURRENT_RSS": 25370624}
19:14:09.154073->{"CURRENT_PRECENT": 0.30883015732697683, "CURRENT_RSS": 25456640}
19:14:09.655208->{"CURRENT_PRECENT": 0.30883015732697683, "CURRENT_RSS": 25456640}
19:14:10.157320->{"CURRENT_PRECENT": 0.30907861280350696, "CURRENT_RSS": 25477120}
19:14:10.659227->{"CURRENT_PRECENT": 0.30932706828003714, "CURRENT_RSS": 25497600}
19:14:11.160737->{"CURRENT_PRECENT": 0.30947614156595527, "CURRENT_RSS": 25509888}
19:14:11.661912->{"CURRENT_PRECENT": 0.3097245970424854, "CURRENT_RSS": 25530368}
19:14:12.163485->{"CURRENT_PRECENT": 0.3097245970424854, "CURRENT_RSS": 25530368}
19:14:12.665883->{"CURRENT_PRECENT": 0.3378497569856984, "CURRENT_RSS": 27848704}
19:14:13.167245->{"CURRENT_PRECENT": 0.3389926521777371, "CURRENT_RSS": 27942912}
19:14:13.668141->{"CURRENT_PRECENT": 0.34147720694303857, "CURRENT_RSS": 28147712}
19:14:14.168609->{"CURRENT_PRECENT": 0.34147720694303857, "CURRENT_RSS": 28147712}
19:14:14.669767->{"CURRENT_PRECENT": 0.34177535351487476, "CURRENT_RSS": 28172288}
19:14:15.170498->{"CURRENT_PRECENT": 0.3419741178960989, "CURRENT_RSS": 28188672}
19:14:15.671980->{"CURRENT_PRECENT": 0.3419741178960989, "CURRENT_RSS": 28188672}
19:14:16.172896->{"CURRENT_PRECENT": 0.34202380899140494, "CURRENT_RSS": 28192768}
19:14:16.673957->{"CURRENT_PRECENT": 0.34202380899140494, "CURRENT_RSS": 28192768}
19:14:17.175407->{"CURRENT_PRECENT": 0.34202380899140494, "CURRENT_RSS": 28192768}
19:14:17.675887->{"CURRENT_PRECENT": 0.34202380899140494, "CURRENT_RSS": 28192768}
19:14:18.177222->{"CURRENT_PRECENT": 0.34202380899140494, "CURRENT_RSS": 28192768}
19:14:18.678750->{"CURRENT_PRECENT": 0.342222573372629, "CURRENT_RSS": 28209152}
19:14:19.180498->{"CURRENT_PRECENT": 0.342222573372629, "CURRENT_RSS": 28209152}
19:14:19.681962->{"CURRENT_PRECENT": 0.342222573372629, "CURRENT_RSS": 28209152}
19:14:20.183497->{"CURRENT_PRECENT": 0.342222573372629, "CURRENT_RSS": 28209152}
19:14:20.684425->{"CURRENT_PRECENT": 0.342222573372629, "CURRENT_RSS": 28209152}
19:14:21.185482->{"CURRENT_PRECENT": 0.342222573372629, "CURRENT_RSS": 28209152}
19:14:21.686931->{"CURRENT_PRECENT": 0.342222573372629, "CURRENT_RSS": 28209152}
19:14:22.188063->{"CURRENT_PRECENT": 0.342222573372629, "CURRENT_RSS": 28209152}
19:14:22.689520->{"CURRENT_PRECENT": 0.342222573372629, "CURRENT_RSS": 28209152}
19:14:23.190604->{"CURRENT_PRECENT": 0.3564839177254597, "CURRENT_RSS": 29384704}
19:14:23.691412->{"CURRENT_PRECENT": 0.3564839177254597, "CURRENT_RSS": 29384704}
19:14:24.192448->{"CURRENT_PRECENT": 0.3564839177254597, "CURRENT_RSS": 29384704}
19:14:24.693969->{"CURRENT_PRECENT": 0.3564839177254597, "CURRENT_RSS": 29384704}
19:14:25.194808->{"CURRENT_PRECENT": 0.3564839177254597, "CURRENT_RSS": 29384704}
19:14:25.695797->{"CURRENT_PRECENT": 0.3564839177254597, "CURRENT_RSS": 29384704}
19:14:26.196810->{"CURRENT_PRECENT": 0.3564839177254597, "CURRENT_RSS": 29384704}
19:14:26.699414->{"CURRENT_PRECENT": 0.3564839177254597, "CURRENT_RSS": 29384704}
19:14:27.201073->{"CURRENT_PRECENT": 0.3564839177254597, "CURRENT_RSS": 29384704}
19:14:27.702622->{"CURRENT_PRECENT": 0.3564839177254597, "CURRENT_RSS": 29384704}
19:14:28.203534->{"CURRENT_PRECENT": 0.3564839177254597, "CURRENT_RSS": 29384704}
19:14:28.704501->{"CURRENT_PRECENT": 0.3564839177254597, "CURRENT_RSS": 29384704}
19:14:29.205957->{"CURRENT_PRECENT": 0.3564839177254597, "CURRENT_RSS": 29384704}
19:14:29.707062->{"CURRENT_PRECENT": 0.3564839177254597, "CURRENT_RSS": 29384704}
19:14:30.208552->{"CURRENT_PRECENT": 0.3564839177254597, "CURRENT_RSS": 29384704}
19:14:30.709973->{"CURRENT_PRECENT": 0.3564839177254597, "CURRENT_RSS": 29384704}
19:14:31.211007->{"CURRENT_PRECENT": 0.3564839177254597, "CURRENT_RSS": 29384704}
19:14:31.711624->{"CURRENT_PRECENT": 0.3564839177254597, "CURRENT_RSS": 29384704}
19:14:32.212699->{"CURRENT_PRECENT": 0.3564839177254597, "CURRENT_RSS": 29384704}
19:14:32.713948->{"CURRENT_PRECENT": 0.3564839177254597, "CURRENT_RSS": 29384704}
19:14:33.215003->{"CURRENT_PRECENT": 0.3564839177254597, "CURRENT_RSS": 29384704}
19:14:33.716446->{"CURRENT_PRECENT": 0.3564839177254597, "CURRENT_RSS": 29384704}
19:14:34.217922->{"CURRENT_PRECENT": 0.3564839177254597, "CURRENT_RSS": 29384704}
19:14:34.719346->{"CURRENT_PRECENT": 0.3564839177254597, "CURRENT_RSS": 29384704}
19:14:35.220945->{"CURRENT_PRECENT": 0.3564839177254597, "CURRENT_RSS": 29384704}
19:14:35.721956->{"CURRENT_PRECENT": 0.3564839177254597, "CURRENT_RSS": 29384704}
19:14:36.222956->{"CURRENT_PRECENT": 0.3564839177254597, "CURRENT_RSS": 29384704}
19:14:36.724069->{"CURRENT_PRECENT": 0.3564839177254597, "CURRENT_RSS": 29384704}
19:14:37.225487->{"CURRENT_PRECENT": 0.3564839177254597, "CURRENT_RSS": 29384704}
19:14:37.726750->{"CURRENT_PRECENT": 0.3564839177254597, "CURRENT_RSS": 29384704}
19:14:38.228151->{"CURRENT_PRECENT": 0.3564839177254597, "CURRENT_RSS": 29384704}
19:14:38.729167->{"CURRENT_PRECENT": 0.3564839177254597, "CURRENT_RSS": 29384704}
19:14:39.230663->{"CURRENT_PRECENT": 0.35678206429729586, "CURRENT_RSS": 29409280}
19:14:39.731628->{"CURRENT_PRECENT": 0.35678206429729586, "CURRENT_RSS": 29409280}
19:14:40.233074->{"CURRENT_PRECENT": 0.35678206429729586, "CURRENT_RSS": 29409280}
19:14:40.734057->{"CURRENT_PRECENT": 0.35678206429729586, "CURRENT_RSS": 29409280}
19:14:41.235082->{"CURRENT_PRECENT": 0.35678206429729586, "CURRENT_RSS": 29409280}
19:14:41.735949->{"CURRENT_PRECENT": 0.35678206429729586, "CURRENT_RSS": 29409280}
19:14:42.237028->{"CURRENT_PRECENT": 0.35678206429729586, "CURRENT_RSS": 29409280}
19:14:42.738230->{"CURRENT_PRECENT": 0.35678206429729586, "CURRENT_RSS": 29409280}
19:14:43.239334->{"CURRENT_PRECENT": 0.35678206429729586, "CURRENT_RSS": 29409280}
19:14:43.740738->{"CURRENT_PRECENT": 0.35678206429729586, "CURRENT_RSS": 29409280}
19:14:44.242019->{"CURRENT_PRECENT": 0.35678206429729586, "CURRENT_RSS": 29409280}
19:14:44.742889->{"CURRENT_PRECENT": 0.35678206429729586, "CURRENT_RSS": 29409280}
19:14:45.243854->{"CURRENT_PRECENT": 0.35678206429729586, "CURRENT_RSS": 29409280}
19:14:45.745109->{"CURRENT_PRECENT": 0.35678206429729586, "CURRENT_RSS": 29409280}
19:14:46.246048->{"CURRENT_PRECENT": 0.35683175539260187, "CURRENT_RSS": 29413376}
19:14:46.747392->{"CURRENT_PRECENT": 0.35683175539260187, "CURRENT_RSS": 29413376}
19:14:47.248351->{"CURRENT_PRECENT": 0.35683175539260187, "CURRENT_RSS": 29413376}
19:14:47.749850->{"CURRENT_PRECENT": 0.35683175539260187, "CURRENT_RSS": 29413376}
19:14:48.250905->{"CURRENT_PRECENT": 0.35683175539260187, "CURRENT_RSS": 29413376}
19:14:48.751809->{"CURRENT_PRECENT": 0.35698082867851993, "CURRENT_RSS": 29425664}
19:14:49.252639->{"CURRENT_PRECENT": 0.35698082867851993, "CURRENT_RSS": 29425664}
19:14:49.753935->{"CURRENT_PRECENT": 0.35698082867851993, "CURRENT_RSS": 29425664}
19:14:50.255376->{"CURRENT_PRECENT": 0.35698082867851993, "CURRENT_RSS": 29425664}
19:14:50.756446->{"CURRENT_PRECENT": 0.35698082867851993, "CURRENT_RSS": 29425664}
19:14:51.257362->{"CURRENT_PRECENT": 0.35698082867851993, "CURRENT_RSS": 29425664}
19:14:51.757940->{"CURRENT_PRECENT": 0.35698082867851993, "CURRENT_RSS": 29425664}
19:14:52.259427->{"CURRENT_PRECENT": 0.35698082867851993, "CURRENT_RSS": 29425664}
19:14:52.760627->{"CURRENT_PRECENT": 0.35698082867851993, "CURRENT_RSS": 29425664}
19:14:53.262012->{"CURRENT_PRECENT": 0.35698082867851993, "CURRENT_RSS": 29425664}
19:14:53.763334->{"CURRENT_PRECENT": 0.35698082867851993, "CURRENT_RSS": 29425664}
19:14:54.263890->{"CURRENT_PRECENT": 0.35698082867851993, "CURRENT_RSS": 29425664}
19:14:54.765231->{"CURRENT_PRECENT": 0.35698082867851993, "CURRENT_RSS": 29425664}
19:14:55.266277->{"CURRENT_PRECENT": 0.35698082867851993, "CURRENT_RSS": 29425664}
19:14:55.767194->{"CURRENT_PRECENT": 0.35698082867851993, "CURRENT_RSS": 29425664}
19:14:56.268621->{"CURRENT_PRECENT": 0.35698082867851993, "CURRENT_RSS": 29425664}
19:14:56.769386->{"CURRENT_PRECENT": 0.35698082867851993, "CURRENT_RSS": 29425664}
19:14:57.271070->{"CURRENT_PRECENT": 0.35698082867851993, "CURRENT_RSS": 29425664}
19:14:57.772511->{"CURRENT_PRECENT": 0.35698082867851993, "CURRENT_RSS": 29425664}
19:14:58.273844->{"CURRENT_PRECENT": 0.35698082867851993, "CURRENT_RSS": 29425664}
19:14:58.775032->{"CURRENT_PRECENT": 0.35698082867851993, "CURRENT_RSS": 29425664}
19:14:59.276415->{"CURRENT_PRECENT": 0.35698082867851993, "CURRENT_RSS": 29425664}
19:14:59.777496->{"CURRENT_PRECENT": 0.35698082867851993, "CURRENT_RSS": 29425664}
19:15:00.278523->{"CURRENT_PRECENT": 0.35698082867851993, "CURRENT_RSS": 29425664}
19:15:00.779416->{"CURRENT_PRECENT": 0.35698082867851993, "CURRENT_RSS": 29425664}
19:15:01.281059->{"CURRENT_PRECENT": 0.35698082867851993, "CURRENT_RSS": 29425664}
19:15:01.782484->{"CURRENT_PRECENT": 0.35698082867851993, "CURRENT_RSS": 29425664}
19:15:02.283451->{"CURRENT_PRECENT": 0.35698082867851993, "CURRENT_RSS": 29425664}
19:15:02.784365->{"CURRENT_PRECENT": 0.35698082867851993, "CURRENT_RSS": 29425664}
19:15:03.284774->{"CURRENT_PRECENT": 0.35698082867851993, "CURRENT_RSS": 29425664}
19:15:03.786001->{"CURRENT_PRECENT": 0.35698082867851993, "CURRENT_RSS": 29425664}
19:15:04.287286->{"CURRENT_PRECENT": 0.35698082867851993, "CURRENT_RSS": 29425664}
19:15:04.788316->{"CURRENT_PRECENT": 0.35698082867851993, "CURRENT_RSS": 29425664}
19:15:05.290232->{"CURRENT_PRECENT": 0.35698082867851993, "CURRENT_RSS": 29425664}
